Tree,Node,ID,Feature,Split,Yes,No,Missing,Gain,Cover,Category
0,23,0-23,PaCO2,43.031086,0-47,0-48,0-48,164.966965,3038.71436,
0,24,0-24,HR,69.0,0-49,0-50,0-50,265.805054,6692.5249,
0,25,0-25,ICULOS,28.0,0-51,0-52,0-52,84.912674,908.291992,
0,26,0-26,ICULOS,195.0,0-53,0-54,0-54,167.026855,10227.3125,
0,27,0-27,pH,7.35002184,0-55,0-56,0-56,178.467194,8440.28418,
0,28,0-28,Bilirubin_direct,2.41000009,0-57,0-58,0-58,105.136749,449.502533,
0,29,0-29,Lactate,3.63374591,0-59,0-60,0-60,166.347107,6392.37988,
0,30,0-30,Fibrinogen,336.333344,0-61,0-62,0-62,79.8053894,640.871887,
0,31,0-31,HospAdmTime,-2.22000003,0-63,0-64,0-64,141.733246,1449.66125,
0,32,0-32,Calcium,7.34778309,0-65,0-66,0-66,142.515579,1452.5022,
0,33,0-33,HospAdmTime,-92.1100006,0-67,0-68,0-68,44.3296051,154.22702,
0,34,0-34,SaO2,93.9686508,0-69,0-70,0-70,73.9708252,229.108978,
0,35,0-35,HCO3,23.4655704,0-71,0-72,0-72,73.27491,154.033951,
0,36,0-36,HR,85.5,0-73,0-74,0-74,68.8637238,1737.82849,
0,37,0-37,DBP,51.9698944,0-75,0-76,0-76,72.1489182,824.579468,
0,38,0-38,Hct,31.9883728,0-77,0-78,0-78,70.6276855,1479.9707,
0,39,0-39,HCO3,24.2348766,0-79,0-80,0-80,34.2027588,1005.74731,
0,40,0-40,Hct,25.2000008,0-81,0-82,0-82,37.7723389,188.854767,
0,41,0-41,ICULOS,7.0,0-83,0-84,0-84,20.4841423,31.9152622,
0,42,0-42,PaCO2,60.0,0-85,0-86,0-86,14.8394203,21.0236092,
0,43,0-43,Bilirubin_direct,1.02250004,0-87,0-88,0-88,48.9525757,952.359253,
0,44,0-44,HR,106.46154,0-89,0-90,0-90,107.903168,3158.1709,
0,45,0-45,SaO2,88.9449921,0-91,0-92,0-92,26.1350098,296.167175,
0,46,0-46,BUN,26.0185947,0-93,0-94,0-94,14.2966061,8.38680458,
0,47,0-47,ICULOS,195.0,0-95,0-96,0-96,113.893402,2882.68018,
0,48,0-48,AST,444.160706,0-97,0-98,0-98,25.5075607,156.033951,
0,49,0-49,TroponinI,12.8990374,0-99,0-100,0-100,109.294075,1991.41321,
0,50,0-50,Chloride,105.444839,0-101,0-102,0-102,154.640167,4701.11182,
0,51,0-51,HospAdmTime,-2.79999995,0-103,0-104,0-104,86.4217148,182.97702,
0,52,0-52,Potassium,4.06751585,0-105,0-106,0-106,59.6161423,725.314941,
0,53,0-53,O2Sat,94.5,0-107,0-108,0-108,156.830566,9636.48926,
0,54,0-54,pH,7.39092731,0-109,0-110,0-110,106.091148,590.823364,
0,55,0-55,AST,367.659088,0-111,0-112,0-112,28.3675461,298.176239,
0,56,0-56,O2Sat,96.6176453,0-113,0-114,0-114,156.766418,8142.10791,
0,57,0-57,HospAdmTime,-3.98000002,0-115,0-116,0-116,45.8590393,378.903259,
0,58,0-58,pH,7.38434267,0-117,0-118,0-118,62.0339203,70.5992813,
0,59,0-59,HospAdmTime,-532.309998,0-119,0-120,0-120,133.650757,5652.95703,
0,60,0-60,Fibrinogen,283.340424,0-121,0-122,0-122,123.712479,739.422668,
0,61,0-61,pH,7.38000011,0-123,0-124,0-124,36.7832642,604.890625,
0,62,0-62,HospAdmTime,-8.61999989,0-125,0-126,0-126,46.4572945,35.9812393,
0,63,0-63,PaCO2,39.4844513,0-127,0-128,0-128,127.848206,574.97345,
0,64,0-64,Fibrinogen,281.1875,0-129,0-130,0-130,61.2862968,874.687866,
0,65,0-65,HR,75.0,0-131,0-132,0-132,137.880493,634.092102,
0,66,0-66,PTT,33.7108345,0-133,0-134,0-134,96.0820618,818.410034,
0,67,0-67,HCO3,19.0,0-135,0-136,0-136,17.0774345,17.8868046,
0,68,0-68,Creatinine,1.42859042,0-137,0-138,0-138,39.3219452,136.340225,
0,69,0-69,O2Sat,92.3076935,0-139,0-140,0-140,25.381897,127.254852,
0,70,0-70,ICULOS,13.0,0-141,0-142,0-142,33.5870247,101.854134,
0,71,0-71,Phosphate,4.9000001,0-143,0-144,0-144,31.5011845,15.7736092,
0,72,0-72,Lactate,2.45163941,0-145,0-146,0-146,37.9863281,138.26033,
0,73,0-73,TroponinI,5.72463751,0-147,0-148,0-148,92.4245148,1227.39185,
0,74,0-74,Hct,33.0999985,0-149,0-150,0-150,54.3769836,510.436554,
0,75,0-75,Alkalinephos,89.1627884,0-151,0-152,0-152,49.9858932,374.303986,
0,76,0-76,HospAdmTime,-283.059998,0-153,0-154,0-154,61.3830528,450.275513,
0,77,0-77,HospAdmTime,-459.170013,0-155,0-156,0-156,61.2879028,1017.18066,
0,78,0-78,DBP,79.9182434,0-157,0-158,0-158,111.306541,462.79007,
0,79,0-79,Bilirubin_direct,0.393750012,0-159,0-160,0-160,25.2612305,924.822327,
0,80,0-80,Hgb,8.30000019,0-161,0-162,0-162,18.1598644,80.9249573,
0,81,0-81,O2Sat,90.25,0-163,0-164,0-164,15.2624283,10.3868046,
0,82,0-82,SBP,112.888885,0-165,0-166,0-166,32.2435837,178.467972,
0,83,0-83,SBP,88.0,0-167,0-168,0-168,22.8545799,9.52360916,
0,84,0-84,SaO2,90.8469086,0-169,0-170,0-170,13.7067432,22.3916531,
0,85,0-85,pH,7.44999981,0-171,0-172,0-172,11.6148415,19.6368046,
0,86,0-86,Leaf,,,,,0.116205953,1.38680446,
0,87,0-87,ICULOS,6.0,0-173,0-174,0-174,39.3007202,733.320435,
0,88,0-88,HospAdmTime,-46.8300018,0-175,0-176,0-176,48.6461868,219.038788,
0,89,0-89,AST,58.4946251,0-177,0-178,0-178,72.4592743,1794.36182,
0,90,0-90,Chloride,106.217239,0-179,0-180,0-180,68.2273712,1363.80908,
0,91,0-91,Leaf,,,,,-0.146666676,2.75,
0,92,0-92,MAP,123.26667,0-181,0-182,0-182,26.6543579,293.417175,
0,93,0-93,Leaf,,,,,-0.174999997,7.0,
0,94,0-94,Leaf,,,,,0.116205953,1.38680446,
0,95,0-95,MAP,60.0,0-183,0-184,0-184,114.029236,2704.1228,
0,96,0-96,Fibrinogen,291.566925,0-185,0-186,0-186,67.5015564,178.557556,
0,97,0-97,Fibrinogen,321.315796,0-187,0-188,0-188,18.0442963,149.147141,
0,98,0-98,ICULOS,27.0,0-189,0-190,0-190,5.20188999,6.88680458,
0,99,0-99,Magnesium,2.11685085,0-191,0-192,0-192,92.2756577,1656.78967,
0,100,0-100,HospAdmTime,-85.8899994,0-193,0-194,0-194,81.6955566,334.623535,
0,101,0-101,HospAdmTime,-251.490005,0-195,0-196,0-196,187.731384,1688.59851,
0,102,0-102,Bilirubin_direct,3.70904756,0-197,0-198,0-198,155.110565,3012.51343,
0,103,0-103,HCO3,24.416851,0-199,0-200,0-200,59.8263245,91.1652603,
0,104,0-104,TroponinI,6.9132967,0-201,0-202,0-202,58.8828697,91.8117676,
0,105,0-105,HospAdmTime,-43.8899994,0-203,0-204,0-204,43.8506317,172.911057,
0,106,0-106,ICULOS,49.0,0-205,0-206,0-206,45.7732315,552.40387,
0,107,0-107,HR,60.0,0-207,0-208,0-208,94.0899658,1174.85376,
0,108,0-108,PaCO2,38.5083351,0-209,0-210,0-210,139.469971,8461.63477,
0,109,0-109,Chloride,106.909721,0-211,0-212,0-212,101.789551,355.411682,
0,110,0-110,Fibrinogen,285.085114,0-213,0-214,0-214,79.7788773,235.411682,
0,111,0-111,Bilirubin_total,2.38534474,0-215,0-216,0-216,37.4907112,223.29364,
0,112,0-112,PTT,35.8034286,0-217,0-218,0-218,33.9235077,74.8825912,
0,113,0-113,Potassium,3.91915607,0-219,0-220,0-220,127.466354,3133.77783,
0,114,0-114,Alkalinephos,86.2039185,0-221,0-222,0-222,122.662506,5008.33008,
0,115,0-115,pH,7.37032795,0-223,0-224,0-224,50.12957,172.647141,
0,116,0-116,DBP,94.0,0-225,0-226,0-226,34.5247192,206.256119,
0,117,0-117,FiO2,0.419999987,0-227,0-228,0-228,14.9917297,33.6604118,
0,118,0-118,ICULOS,280.0,0-229,0-230,0-230,31.325737,36.9388733,
0,119,0-119,ICULOS,110.0,0-231,0-232,0-232,72.7790375,225.231873,
0,120,0-120,SaO2,94.6050644,0-233,0-234,0-234,142.513672,5427.7251,
0,121,0-121,ICULOS,201.0,0-235,0-236,0-236,76.2361526,605.417175,
0,122,0-122,O2Sat,99.6666641,0-237,0-238,0-238,28.1577721,134.005493,
0,123,0-123,ICULOS,56.0,0-239,0-240,0-240,35.493042,334.799133,
0,124,0-124,SaO2,92.3877563,0-241,0-242,0-242,21.0532532,270.091492,
0,125,0-125,HCO3,24.3153629,0-243,0-244,0-244,17.2494087,19.1368046,
0,126,0-126,SaO2,96.0,0-245,0-246,0-246,14.6219578,16.8444366,
0,127,0-127,O2Sat,99.7142868,0-247,0-248,0-248,49.8179131,221.194351,
0,128,0-128,Phosphate,3.31997275,0-249,0-250,0-250,59.008667,353.779083,
0,129,0-129,Magnesium,2.03984761,0-251,0-252,0-252,52.3796768,240.076309,
0,130,0-130,O2Sat,96.1999969,0-253,0-254,0-254,66.5616455,634.611511,
0,131,0-131,SaO2,94.2582092,0-255,0-256,0-256,59.1200867,121.599281,
0,132,0-132,Hct,30.0677013,0-257,0-258,0-258,57.5674095,512.492859,
0,133,0-133,TroponinI,7.31228065,0-259,0-260,0-260,28.9045143,40.7076302,
0,134,0-134,Phosphate,2.5,0-261,0-262,0-262,38.7749329,777.702393,
0,135,0-135,Leaf,,,,,0.116205953,1.38680446,
0,136,0-136,Leaf,,,,,-0.188571438,16.5,
0,137,0-137,FiO2,0.508632302,0-263,0-264,0-264,30.6922321,95.1089859,
0,138,0-138,HospAdmTime,-54.1500015,0-265,0-266,0-266,20.1766453,41.2312393,
0,139,0-139,DBP,62.9026604,0-267,0-268,0-268,21.7567425,7.16041327,
0,140,0-140,HCO3,17.0,0-269,0-270,0-270,16.0292969,120.094437,
0,141,0-141,PTT,42.22612,0-271,0-272,0-272,30.9264393,89.6041336,
0,142,0-142,Leaf,,,,,-0.184905663,12.25,
0,143,0-143,Leaf,,,,,-0.18571429,13.0,
0,144,0-144,Leaf,,,,,0.147000343,2.77360892,
0,145,0-145,ICULOS,4.0,0-273,0-274,0-274,15.7602386,80.0902252,
0,146,0-146,Hct,29.8016148,0-275,0-276,0-276,64.3879013,58.1701126,
0,147,0-147,HCO3,24.1351566,0-277,0-278,0-278,60.5378189,213.97702,
0,148,0-148,HospAdmTime,-89.0999985,0-279,0-280,0-280,85.899704,1013.41486,
0,149,0-149,MAP,56.6699982,0-281,0-282,0-282,52.5883408,489.026154,
0,150,0-150,Potassium,4.5999999,0-283,0-284,0-284,21.4135056,21.4104137,
0,151,0-151,HR,63.8888893,0-285,0-286,0-286,55.1662407,105.69857,
0,152,0-152,PTT,36.4053574,0-287,0-288,0-288,30.7526093,268.605408,
0,153,0-153,Fibrinogen,266.71875,0-289,0-290,0-290,26.1589661,53.7173309,
0,154,0-154,HospAdmTime,-1.62,0-291,0-292,0-292,89.8850403,396.558197,
0,155,0-155,HCO3,20.0,0-293,0-294,0-294,30.875103,14.7736092,
0,156,0-156,SOFA,6.0,0-295,0-296,0-296,40.9638062,1002.4071,
0,157,0-157,Bilirubin_total,3.07451916,0-297,0-298,0-298,46.3722649,339.213745,
0,158,0-158,Phosphate,3.90402675,0-299,0-300,0-300,24.0516968,123.576309,
0,159,0-159,pH,7.35002184,0-301,0-302,0-302,22.411665,14.9340219,
0,160,0-160,HospAdmTime,0.0,0-303,0-304,0-304,22.6120605,909.888306,
0,161,0-161,SBP,100.5,0-305,0-306,0-306,16.3434792,34.8492851,
0,162,0-162,Creatinine,1.52840948,0-307,0-308,0-308,20.4103432,46.075676,
0,163,0-163,Leaf,,,,,0.116205953,1.38680446,
0,164,0-164,Leaf,,,,,-0.179999992,9.0,
0,165,0-165,Lactate,3.12178135,0-309,0-310,0-310,58.8892174,99.8353729,
0,166,0-166,Alkalinephos,105.529762,0-311,0-312,0-312,23.0535126,78.6325912,
0,167,0-167,Leaf,,,,,0.125440076,3.02360892,
0,168,0-168,Leaf,,,,,-0.173333332,6.5,
0,169,0-169,Leaf,,,,,-0.127272725,1.75,
0,170,0-170,SBP,90.0,0-313,0-314,0-314,8.52423286,20.6416531,
0,171,0-171,Leaf,,,,,-0.189189181,17.5,
0,172,0-172,Leaf,,,,,0.0406021141,2.13680458,
0,173,0-173,Fibrinogen,268.526306,0-315,0-316,0-316,37.5959129,210.199203,
0,174,0-174,AST,134.278305,0-317,0-318,0-318,26.3319397,523.121216,
0,175,0-175,HospAdmTime,-459.170013,0-319,0-320,0-320,52.535656,111.137444,
0,176,0-176,SBP,115.967392,0-321,0-322,0-322,61.5858917,107.901352,
0,177,0-177,HospAdmTime,-0.0399999991,0-323,0-324,0-324,27.870018,120.34507,
0,178,0-178,Magnesium,2.01344824,0-325,0-326,0-326,79.5065155,1674.01672,
0,179,0-179,SBP,145.0,0-327,0-328,0-328,55.1521301,849.084961,
0,180,0-180,Phosphate,3.05327868,0-329,0-330,0-330,60.525856,514.72406,
0,181,0-181,SaO2,95.3196793,0-331,0-332,0-332,25.4771118,288.030365,
0,182,0-182,FiO2,0.505795836,0-333,0-334,0-334,9.52573299,5.38680458,
0,183,0-183,HospAdmTime,-30.9099998,0-335,0-336,0-336,61.5906029,304.303345,
0,184,0-184,Bilirubin_direct,0.863636374,0-337,0-338,0-338,80.8784485,2399.81934,
0,185,0-185,Hct,29.864336,0-339,0-340,0-340,35.4325867,111.571465,
0,186,0-186,HR,73.3333359,0-341,0-342,0-342,45.5162849,66.9860916,
0,187,0-187,MAP,76.0,0-343,0-344,0-344,16.2640152,138.486725,
0,188,0-188,SBP,133.0,0-345,0-346,0-346,18.0446415,10.6604137,
0,189,0-189,HR,66.5,0-347,0-348,0-348,5.98029184,2.63680458,
0,190,0-190,Leaf,,,,,-0.161904767,4.25,
0,191,0-191,Alkalinephos,73.7397995,0-349,0-350,0-350,96.1286087,1367.21338,
0,192,0-192,Lactate,2.02266121,0-351,0-352,0-352,98.1277008,289.576324,
0,193,0-193,FiO2,0.539643764,0-353,0-354,0-354,53.7247467,64.3069153,
0,194,0-194,ICULOS,167.0,0-355,0-356,0-356,46.0427856,270.31662,
0,195,0-195,ICULOS,160.0,0-357,0-358,0-358,129.664032,233.165894,
0,196,0-196,HCO3,24.8399067,0-359,0-360,0-360,94.1183472,1455.43262,
0,197,0-197,Bilirubin_direct,0.744285703,0-361,0-362,0-362,89.2462769,2646.26685,
0,198,0-198,SBP,108.0,0-363,0-364,0-364,76.7756729,366.246429,
0,199,0-199,FiO2,0.310000002,0-365,0-366,0-366,17.0846252,60.9104118,
0,200,0-200,Magnesium,2.10065436,0-367,0-368,0-368,27.270813,30.2548485,
0,201,0-201,SBP,120.0,0-369,0-370,0-370,31.5076103,61.2409401,
0,202,0-202,Phosphate,3.89634418,0-371,0-372,0-372,25.3000069,30.5708275,
0,203,0-203,ICULOS,164.0,0-373,0-374,0-374,63.6173248,70.3020706,
0,204,0-204,ICULOS,68.0,0-375,0-376,0-376,28.8267498,102.608986,
0,205,0-205,HCO3,23.7784004,0-377,0-378,0-378,34.6148529,250.737366,
0,206,0-206,TroponinI,6.50046873,0-379,0-380,0-380,56.9196815,301.666534,
0,207,0-207,Alkalinephos,111.85714,0-381,0-382,0-382,23.39711,52.934021,
0,208,0-208,Hct,32.5409775,0-383,0-384,0-384,88.9056702,1121.91968,
0,209,0-209,O2Sat,96.0659332,0-385,0-386,0-386,66.5118484,689.512268,
0,210,0-210,pH,7.38273096,0-387,0-388,0-388,156.661621,7772.12305,
0,211,0-211,PaCO2,40.7496948,0-389,0-390,0-390,44.6679611,306.217957,
0,212,0-212,ICULOS,212.0,0-391,0-392,0-392,50.2493668,49.1937218,
0,213,0-213,Potassium,4.10767221,0-393,0-394,0-394,19.6385345,100.821465,
0,214,0-214,O2Sat,95.5518875,0-395,0-396,0-396,44.290554,134.590225,
0,215,0-215,ICULOS,107.0,0-397,0-398,0-398,24.5211487,186.925598,
0,216,0-216,ICULOS,89.0,0-399,0-400,0-400,35.6465302,36.3680458,
0,217,0-217,HospAdmTime,-10.8999996,0-401,0-402,0-402,19.3781357,13.0472183,
0,218,0-218,HospAdmTime,-99.4899979,0-403,0-404,0-404,4.93096924,61.8353729,
0,219,0-219,Hgb,11.056694,0-405,0-406,0-406,26.494606,362.369965,
0,220,0-220,Bilirubin_direct,0.686363637,0-407,0-408,0-408,124.7286,2771.40796,
0,221,0-221,HospAdmTime,-98.2099991,0-409,0-410,0-410,161.822906,1033.50928,
0,222,0-222,Fibrinogen,366.763519,0-411,0-412,0-412,90.2323303,3974.8208,
0,223,0-223,HR,121.5,0-413,0-414,0-414,19.4993515,36.3965034,
0,224,0-224,ICULOS,240.0,0-415,0-416,0-416,60.6207657,136.250641,
0,225,0-225,DBP,65.4275284,0-417,0-418,0-418,19.5635986,202.506119,
0,226,0-226,Leaf,,,,,-0.157894745,3.75,
0,227,0-227,Leaf,,,,,0.116205953,1.38680446,
0,228,0-228,MAP,92.0,0-419,0-420,0-420,7.70328522,32.2736092,
0,229,0-229,BUN,16.6212692,0-421,0-422,0-422,50.4535065,25.3444366,
0,230,0-230,SBP,114.0,0-423,0-424,0-424,0.645626068,11.5944357,
0,231,0-231,Phosphate,3.66219926,0-425,0-426,0-426,112.581139,148.854141,
0,232,0-232,O2Sat,96.4000015,0-427,0-428,0-428,78.171257,76.3777466,
0,233,0-233,HospAdmTime,0.0,0-429,0-430,0-430,179.421997,4401.40479,
0,234,0-234,ICULOS,125.0,0-431,0-432,0-432,144.529449,1026.32043,
0,235,0-235,Lactate,4.72831011,0-433,0-434,0-434,72.8315277,563.157471,
0,236,0-236,Lactate,4.5,0-435,0-436,0-436,53.1247139,42.259697,
0,237,0-237,HospAdmTime,-397.980011,0-437,0-438,0-438,40.5658836,72.4673309,
0,238,0-238,pH,7.40075397,0-439,0-440,0-440,17.6589661,61.5381546,
0,239,0-239,pH,7.36397409,0-441,0-442,0-442,61.4083786,172.373535,
0,240,0-240,SOFA,6.0,0-443,0-444,0-444,23.2573395,162.425598,
0,241,0-241,ICULOS,35.0,0-445,0-446,0-446,22.8021755,31.9152622,
0,242,0-242,Phosphate,3.69547248,0-447,0-448,0-448,19.9790039,238.176239,
0,243,0-243,Leaf,,,,,-0.189333335,17.75,
0,244,0-244,Leaf,,,,,0.116205953,1.38680446,
0,245,0-245,Calcium,7.30249071,0-449,0-450,0-450,5.67452526,14.5944357,
0,246,0-246,Leaf,,,,,-0.138461545,2.25,
0,247,0-247,Bilirubin_direct,0.421111107,0-451,0-452,0-452,37.0805588,161.915894,
0,248,0-248,Alkalinephos,92.3557358,0-453,0-454,0-454,33.0143738,59.2784576,
0,249,0-249,HospAdmTime,-62.3800011,0-455,0-456,0-456,37.1186409,125.674957,
0,250,0-250,HospAdmTime,-239.009995,0-457,0-458,0-458,58.9793701,228.104141,
0,251,0-251,HCO3,22.5,0-459,0-460,0-460,63.4818954,96.1985703,
0,252,0-252,DBP,67.5941086,0-461,0-462,0-462,29.5873489,143.877747,
0,253,0-253,FiO2,0.518135667,0-463,0-464,0-464,42.7092133,150.897141,
0,254,0-254,Potassium,4.07580805,0-465,0-466,0-466,42.7052078,483.714386,
0,255,0-255,MAP,97.0,0-467,0-468,0-468,22.6647339,84.0708237,
0,256,0-256,DBP,60.3303604,0-469,0-470,0-470,25.6278381,37.5284576,
0,257,0-257,HospAdmTime,-1.24000001,0-471,0-472,0-472,49.1102066,271.119324,
0,258,0-258,O2Sat,97.0500031,0-473,0-474,0-474,68.5851898,241.373535,
0,259,0-259,MAP,105.0,0-475,0-476,0-476,22.8643646,28.5236092,
0,260,0-260,HospAdmTime,-0.0199999996,0-477,0-478,0-478,14.7433472,12.1840219,
0,261,0-261,Leaf,,,,,-0.173333332,6.5,
0,262,0-262,Potassium,4.0999999,0-479,0-480,0-480,30.4689636,771.202393,
0,263,0-263,HospAdmTime,-0.0199999996,0-481,0-482,0-482,32.3694763,23.8208275,
0,264,0-264,SBP,92.0,0-483,0-484,0-484,32.0602112,71.2881546,
0,265,0-265,DBP,52.1451263,0-485,0-486,0-486,10.9090986,5.41041327,
0,266,0-266,Magnesium,2.10065436,0-487,0-488,0-488,29.539505,35.8208275,
0,267,0-267,Leaf,,,,,-0.150000006,3.0,
0,268,0-268,Leaf,,,,,0.161243424,4.16041327,
0,269,0-269,Leaf,,,,,0.116205953,1.38680446,
0,270,0-270,Calcium,6.77908468,0-489,0-490,0-490,7.74273682,118.707634,
0,271,0-271,HospAdmTime,-5.03999996,0-491,0-492,0-492,23.2346878,80.6041336,
0,272,0-272,Leaf,,,,,-0.179999992,9.0,
0,273,0-273,SBP,109.0,0-493,0-494,0-494,16.7958603,7.91041327,
0,274,0-274,HR,66.5,0-495,0-496,0-496,1.93281555,72.1798096,
0,275,0-275,HospAdmTime,-729.789978,0-497,0-498,0-498,40.3518028,48.1701126,
0,276,0-276,Leaf,,,,,-0.181818187,10.0,
0,277,0-277,HospAdmTime,-171.029999,0-499,0-500,0-500,47.7060242,196.108978,
0,278,0-278,Hct,30.995842,0-501,0-502,0-502,10.241684,17.8680439,
0,279,0-279,HospAdmTime,-133.720001,0-503,0-504,0-504,67.5773697,148.674957,
0,280,0-280,HospAdmTime,-75.5,0-505,0-506,0-506,63.1628761,864.739929,
0,281,0-281,Bilirubin_direct,1.843871,0-507,0-508,0-508,23.7888527,20.1604137,
0,282,0-282,HospAdmTime,-9.77000046,0-509,0-510,0-510,46.7553787,468.865753,
0,283,0-283,HospAdmTime,0.0,0-511,0-512,0-512,7.88895416,17.8868046,
0,284,0-284,O2Sat,91.5,0-513,0-514,0-514,0.119214058,3.52360892,
0,285,0-285,Leaf,,,,,-0.18571429,13.0,
0,286,0-286,HospAdmTime,-46.8300018,0-515,0-516,0-516,43.3826218,92.6985703,
0,287,0-287,Leaf,,,,,-0.161904767,4.25,
0,288,0-288,FiO2,0.544412315,0-517,0-518,0-518,27.6399078,264.355408,
0,289,0-289,ICULOS,2.0,0-519,0-520,0-520,10.1719131,36.6465034,
0,290,0-290,O2Sat,99.7777786,0-521,0-522,0-522,21.2610016,17.0708275,
0,291,0-291,Phosphate,3.90063977,0-523,0-524,0-524,53.4139786,167.835373,
0,292,0-292,Hct,32.1529007,0-525,0-526,0-526,57.1528549,228.722809,
0,293,0-293,Leaf,,,,,0.147000343,2.77360892,
0,294,0-294,Leaf,,,,,-0.184615389,12.0,
0,295,0-295,O2Sat,94.1538467,0-527,0-528,0-528,23.2489014,505.258026,
0,296,0-296,PaCO2,41.3854027,0-529,0-530,0-530,30.479187,497.149048,
0,297,0-297,O2Sat,93.6666641,0-531,0-532,0-532,34.435051,257.977661,
0,298,0-298,ICULOS,12.0,0-533,0-534,0-534,36.6451378,81.2360916,
0,299,0-299,O2Sat,95.1363602,0-535,0-536,0-536,17.8806458,111.279091,
0,300,0-300,HR,58.5,0-537,0-538,0-538,22.6378326,12.2972183,
0,301,0-301,Leaf,,,,,0.161243424,4.16041327,
0,302,0-302,Potassium,4.80000019,0-539,0-540,0-540,19.8257103,10.7736092,
0,303,0-303,HospAdmTime,-344.410004,0-541,0-542,0-542,29.1181641,835.548096,
0,304,0-304,Bilirubin_total,1.01529408,0-543,0-544,0-544,11.9341583,74.3402252,
0,305,0-305,Leaf,,,,,-0.13333334,2.0,
0,306,0-306,FiO2,0.501501441,0-545,0-546,0-546,16.0316772,32.8492851,
0,307,0-307,AST,49.6116524,0-547,0-548,0-548,26.9019432,29.0944366,
0,308,0-308,ICULOS,9.0,0-549,0-550,0-550,18.677063,16.9812393,
0,309,0-309,Potassium,3.84875011,0-551,0-552,0-552,10.4598579,67.7645493,
0,310,0-310,HospAdmTime,-0.0199999996,0-553,0-554,0-554,47.5665131,32.0708275,
0,311,0-311,Leaf,,,,,-0.146666676,2.75,
0,312,0-312,MAP,59.0,0-555,0-556,0-556,14.9821014,75.8825912,
0,313,0-313,Leaf,,,,,-0.100000001,1.0,
0,314,0-314,PTT,29.3999996,0-557,0-558,0-558,9.59585953,19.6416531,
0,315,0-315,SBP,105.75,0-559,0-560,0-560,51.2985458,31.8444366,
0,316,0-316,SBP,117.0,0-561,0-562,0-562,19.6668015,178.354767,
0,317,0-317,MAP,90.6699982,0-563,0-564,0-564,30.8058109,34.7784576,
0,318,0-318,SBP,161.0,0-565,0-566,0-566,32.4734802,488.342773,
0,319,0-319,Leaf,,,,,-0.175757572,7.25,
0,320,0-320,MAP,87.3300018,0-567,0-568,0-568,26.8169327,103.887444,
0,321,0-321,HospAdmTime,-0.00999999978,0-569,0-570,0-570,31.3786278,61.391655,
0,322,0-322,HCO3,23.7040081,0-571,0-572,0-572,25.0046902,46.509697,
0,323,0-323,Phosphate,3.05327868,0-573,0-574,0-574,28.0906601,96.2506332,
0,324,0-324,Phosphate,3.45152354,0-575,0-576,0-576,34.1507149,24.0944366,
0,325,0-325,AST,141.455887,0-577,0-578,0-578,68.3379059,728.744141,
0,326,0-326,HCO3,23.3803959,0-579,0-580,0-580,47.2264099,945.272583,
0,327,0-327,Bilirubin_direct,3.70904756,0-581,0-582,0-582,38.0733948,660.47052,
0,328,0-328,Hgb,10.2704287,0-583,0-584,0-584,27.7802124,188.614471,
0,329,0-329,SBP,168.0,0-585,0-586,0-586,14.697197,39.7833061,
0,330,0-330,Bilirubin_total,4.12035942,0-587,0-588,0-588,46.7543907,474.940796,
0,331,0-331,Magnesium,2.09069443,0-589,0-590,0-590,10.7460938,198.737366,
