Tree,Node,ID,Feature,Split,Yes,No,Missing,Gain,Cover,Category
0,41,0-41,SaO2,91.8057938,0-83,0-84,0-84,189.528961,2975.0376,
0,42,0-42,HospAdmTime,0.0,0-85,0-86,0-86,130.277344,2642.40186,
0,43,0-43,Leaf,,,,,-0.194366202,34.5,
0,44,0-44,HospAdmTime,-0.0199999996,0-87,0-88,0-88,127.09491,3465.64429,
0,45,0-45,HospAdmTime,-0.0500000007,0-89,0-90,0-90,349.606567,7676.19238,
0,46,0-46,HCO3,24.1956348,0-91,0-92,0-92,264.536743,2286.2002,
0,47,0-47,ICULOS,195.0,0-93,0-94,0-94,191.113419,2454.41504,
0,48,0-48,Alkalinephos,92.1582718,0-95,0-96,0-96,99.8696899,1780.45544,
0,49,0-49,PTT,41.6347542,0-97,0-98,0-98,162.560959,412.513794,
0,50,0-50,Creatinine,1.41780198,0-99,0-100,0-100,220.041138,1194.80811,
0,51,0-51,FiO2,0.518135667,0-101,0-102,0-102,301.922668,3222.6001,
0,52,0-52,Creatinine,2.85878897,0-103,0-104,0-104,82.4851074,461.065674,
0,53,0-53,ICULOS,267.0,0-105,0-106,0-106,63.7415466,218.478317,
0,54,0-54,HR,73.5,0-107,0-108,0-108,80.2688904,123.52726,
0,55,0-55,Phosphate,2.94070792,0-109,0-110,0-110,33.6179199,290.818298,
0,56,0-56,TroponinI,7.11999989,0-111,0-112,0-112,49.9513397,256.522003,
0,57,0-57,Fibrinogen,272.143585,0-113,0-114,0-114,224.449951,12724.459,
0,58,0-58,Calcium,6.86418915,0-115,0-116,0-116,163.778931,775.723633,
0,59,0-59,AST,88.3628311,0-117,0-118,0-118,121.229309,816.275208,
0,60,0-60,HR,94.0,0-119,0-120,0-120,60.0516968,502.082092,
0,61,0-61,O2Sat,93.6666641,0-121,0-122,0-122,48.1871948,252.570938,
0,62,0-62,PaCO2,49.0,0-123,0-124,0-124,18.3786621,139.953995,
0,63,0-63,Phosphate,3.56421399,0-125,0-126,0-126,240.891708,3420.97778,
0,64,0-64,ICULOS,16.0,0-127,0-128,0-128,200.73645,2307.07446,
0,65,0-65,DBP,43.0,0-129,0-130,0-130,251.290649,2588.38989,
0,66,0-66,Bilirubin_direct,3.91522717,0-131,0-132,0-132,257.838379,3840.73218,
0,67,0-67,DBP,81.0,0-133,0-134,0-134,202.331421,2686.01294,
0,68,0-68,Lactate,4.77722216,0-135,0-136,0-136,89.3039246,129.29895,
0,69,0-69,SaO2,92.2698822,0-137,0-138,0-138,225.288544,2174.22974,
0,70,0-70,Fibrinogen,335.899994,0-139,0-140,0-140,261.881226,5940.76123,
0,71,0-71,pH,7.37665653,0-141,0-142,0-142,189.531128,232.513779,
0,72,0-72,HCO3,20.0,0-143,0-144,0-144,155.168152,2980.24072,
0,73,0-73,ICULOS,16.0,0-145,0-146,0-146,181.648697,2205.53442,
0,74,0-74,HospAdmTime,-5.0,0-147,0-148,0-148,232.058014,1949.09351,
0,75,0-75,HospAdmTime,-0.0299999993,0-149,0-150,0-150,173.647644,683.777588,
0,76,0-76,Fibrinogen,197.653839,0-151,0-152,0-152,163.789703,2308.43115,
0,77,0-77,pH,7.36999989,0-153,0-154,0-154,96.15802,1321.90894,
0,78,0-78,HospAdmTime,-0.0199999996,0-155,0-156,0-156,175.642487,218.136002,
0,79,0-79,TroponinI,16.2759399,0-157,0-158,0-158,124.775177,644.362,
0,80,0-80,Phosphate,3.92142868,0-159,0-160,0-160,27.6575928,144.394196,
0,81,0-81,HospAdmTime,-434.410004,0-161,0-162,0-162,31.0878906,609.636597,
0,82,0-82,O2Sat,95.4464264,0-163,0-164,0-164,32.2832642,450.715149,
0,83,0-83,HospAdmTime,-76.3000031,0-165,0-166,0-166,83.0666351,721.788696,
0,84,0-84,HospAdmTime,0.0,0-167,0-168,0-168,147.554962,2253.24878,
0,85,0-85,Potassium,4.09340715,0-169,0-170,0-170,130.61261,2439.9397,
0,86,0-86,HCO3,24.528223,0-171,0-172,0-172,56.2787476,202.462204,
0,87,0-87,pH,7.32000017,0-173,0-174,0-174,130.724609,2882.76318,
0,88,0-88,Creatinine,1.42043483,0-175,0-176,0-176,125.795135,582.881042,
0,89,0-89,BUN,21.4053154,0-177,0-178,0-178,228.439819,4924.84814,
0,90,0-90,SaO2,94.6050644,0-179,0-180,0-180,240.790207,2751.34448,
0,91,0-91,Magnesium,2.0137229,0-181,0-182,0-182,117.139442,893.631042,
0,92,0-92,Bilirubin_direct,0.49000001,0-183,0-184,0-184,204.844543,1392.56921,
0,93,0-93,Bilirubin_direct,0.475882351,0-185,0-186,0-186,183.077393,2129.71631,
0,94,0-94,BUN,33.6268921,0-187,0-188,0-188,148.438599,324.69873,
0,95,0-95,Creatinine,1.83296764,0-189,0-190,0-190,59.3811035,747.674683,
0,96,0-96,Chloride,105.922699,0-191,0-192,0-192,107.740158,1032.78076,
0,97,0-97,Bilirubin_total,1.70000005,0-193,0-194,0-194,97.3792725,211.478317,
0,98,0-98,DBP,43.0,0-195,0-196,0-196,66.8656006,201.035461,
0,99,0-99,HospAdmTime,-33.9900017,0-197,0-198,0-198,83.9248428,305.834412,
0,100,0-100,Phosphate,3.71850491,0-199,0-200,0-200,145.10611,888.973633,
0,101,0-101,AST,66.3877563,0-201,0-202,0-202,201.696243,2469.34131,
0,102,0-102,Alkalinephos,107.870964,0-203,0-204,0-204,93.8188171,753.258789,
0,103,0-103,PaCO2,40.8082962,0-205,0-206,0-206,72.6409302,424.416199,
0,104,0-104,ICULOS,267.0,0-207,0-208,0-208,47.1038132,36.6494713,
0,105,0-105,Hgb,9.98481274,0-209,0-210,0-210,52.6122742,199.828842,
0,106,0-106,SBP,126.5,0-211,0-212,0-212,13.9507694,18.6494732,
0,107,0-107,ICULOS,73.0,0-213,0-214,0-214,45.0087776,49.3994713,
0,108,0-108,Hgb,10.371685,0-215,0-216,0-216,44.9474907,74.1277847,
0,109,0-109,Leaf,,,,,-0.150000006,3.0,
0,110,0-110,HCO3,28.0,0-217,0-218,0-218,19.168457,287.818298,
0,111,0-111,FiO2,0.521132529,0-219,0-220,0-220,110.00856,145.856094,
0,112,0-112,TroponinI,25.9478874,0-221,0-222,0-222,33.9575195,110.665886,
0,113,0-113,Bilirubin_direct,4.82866669,0-223,0-224,0-224,152.018188,2473.02417,
0,114,0-114,Alkalinephos,117.957314,0-225,0-226,0-226,198.934204,10251.4355,
0,115,0-115,PaCO2,39.7072601,0-227,0-228,0-228,69.2006531,60.5190506,
0,116,0-116,Magnesium,1.94261742,0-229,0-230,0-230,181.672058,715.20459,
0,117,0-117,Creatinine,0.790000021,0-231,0-232,0-232,25.6332397,126.464836,
0,118,0-118,Calcium,6.89842558,0-233,0-234,0-234,105.834229,689.810364,
0,119,0-119,PaCO2,41.0735016,0-235,0-236,0-236,43.2352562,112.146835,
0,120,0-120,Fibrinogen,304.876465,0-237,0-238,0-238,26.0439453,389.935242,
0,121,0-121,Leaf,,,,,-0.167999998,5.25,
0,122,0-122,Hct,27.2000008,0-239,0-240,0-240,27.4461365,247.320938,
0,123,0-123,Magnesium,2.25,0-241,0-242,0-242,4.59375,138.453995,
0,124,0-124,Leaf,,,,,-0.120000005,1.5,
0,125,0-125,HospAdmTime,-40.8199997,0-243,0-244,0-244,144.649719,1890.33533,
0,126,0-126,pH,7.38530397,0-245,0-246,0-246,152.721771,1530.64246,
0,127,0-127,O2Sat,99.5500031,0-247,0-248,0-248,179.434875,1019.31036,
0,128,0-128,HospAdmTime,-45.8899994,0-249,0-250,0-250,254.840454,1287.76404,
0,129,0-129,AST,180.811111,0-251,0-252,0-252,150.571014,219.703995,
0,130,0-130,PTT,39.0764999,0-253,0-254,0-254,171.318848,2368.68579,
0,131,0-131,ICULOS,38.0,0-255,0-256,0-256,245.274414,3646.97656,
0,132,0-132,HospAdmTime,-5.0,0-257,0-258,0-258,170.463852,193.755569,
0,133,0-133,BUN,17.0347385,0-259,0-260,0-260,180.587082,2377.05347,
0,134,0-134,pH,7.37807989,0-261,0-262,0-262,53.5295715,308.959564,
0,135,0-135,Bilirubin_direct,0.144999996,0-263,0-264,0-264,83.4780273,114.149475,
0,136,0-136,TroponinI,9.06740189,0-265,0-266,0-266,35.7050629,15.1494732,
0,137,0-137,SBP,97.0,0-267,0-268,0-268,84.9874268,648.041321,
0,138,0-138,Hgb,10.1347647,0-269,0-270,0-270,275.888489,1526.18848,
0,139,0-139,Alkalinephos,82.3614426,0-271,0-272,0-272,217.268066,4979.47266,
0,140,0-140,DBP,51.4466782,0-273,0-274,0-274,133.087524,961.288696,
0,141,0-141,Bilirubin_total,1.98842108,0-275,0-276,0-276,174.619476,167.206635,
0,142,0-142,ICULOS,15.0,0-277,0-278,0-278,33.5522766,65.3071518,
0,143,0-143,Lactate,2.20748758,0-279,0-280,0-280,46.0799217,77.2174683,
0,144,0-144,Fibrinogen,289.336365,0-281,0-282,0-282,162.257935,2903.02319,
0,145,0-145,Calcium,6.86418915,0-283,0-284,0-284,296.718933,1041.49011,
0,146,0-146,Fibrinogen,281.090912,0-285,0-286,0-286,97.7081985,1164.04431,
0,147,0-147,Phosphate,3.56421399,0-287,0-288,0-288,158.379028,1123.6228,
0,148,0-148,Fibrinogen,344.568817,0-289,0-290,0-290,112.922211,825.470703,
0,149,0-149,Bilirubin_direct,0.268333346,0-291,0-292,0-292,102.684357,141.269058,
0,150,0-150,Calcium,7.30679417,0-293,0-294,0-294,114.39994,542.508484,
0,151,0-151,Leaf,,,,,-0.194285721,34.0,
0,152,0-152,Lactate,3.06644201,0-295,0-296,0-296,119.482681,2274.43115,
0,153,0-153,DBP,49.3962173,0-297,0-298,0-298,64.0222778,544.631042,
0,154,0-154,ICULOS,45.0,0-299,0-300,0-300,112.919983,777.277893,
0,155,0-155,MAP,64.8349991,0-301,0-302,0-302,60.0620079,104.616943,
0,156,0-156,Bilirubin_total,1.85487807,0-303,0-304,0-304,53.2276306,113.519051,
0,157,0-157,Hct,29.0499992,0-305,0-306,0-306,56.6411133,588.682617,
0,158,0-158,HospAdmTime,-0.0599999987,0-307,0-308,0-308,74.4017563,55.6793671,
0,159,0-159,HCO3,24.528223,0-309,0-310,0-310,19.4580688,141.894196,
0,160,0-160,Leaf,,,,,-0.142857149,2.5,
0,161,0-161,HR,95.0,0-311,0-312,0-312,0.848449707,83.8262024,
0,162,0-162,FiO2,0.870000005,0-313,0-314,0-314,25.7939453,525.810364,
0,163,0-163,SBP,123.655212,0-315,0-316,0-316,19.3358459,130.655045,
0,164,0-164,SOFA,5.0,0-317,0-318,0-318,46.2206726,320.060089,
0,165,0-165,Bilirubin_total,2.75736427,0-319,0-320,0-320,66.2637024,257.541046,
0,166,0-166,HospAdmTime,-3.44000006,0-321,0-322,0-322,108.566963,464.247681,
0,167,0-167,AST,51.4099998,0-323,0-324,0-324,126.82933,2096.00415,
0,168,0-168,Lactate,2.34455967,0-325,0-326,0-326,119.004883,157.244736,
0,169,0-169,Potassium,4.00234604,0-327,0-328,0-328,135.592682,858.128418,
0,170,0-170,Hgb,9.842659,0-329,0-330,0-330,89.2492065,1581.81128,
0,171,0-171,PTT,43.7597618,0-331,0-332,0-332,39.5734863,197.212204,
0,172,0-172,Leaf,,,,,-0.167999998,5.25,
0,173,0-173,Creatinine,1.37197125,0-333,0-334,0-334,18.0580444,114.005569,
0,174,0-174,HospAdmTime,-225.259995,0-335,0-336,0-336,125.018417,2768.75757,
0,175,0-175,Fibrinogen,311.352936,0-337,0-338,0-338,78.2241516,313.701355,
0,176,0-176,Calcium,7.41817379,0-339,0-340,0-340,41.7675171,269.179657,
0,177,0-177,HospAdmTime,-255.279999,0-341,0-342,0-342,165.682495,1840.82153,
0,178,0-178,ICULOS,33.0,0-343,0-344,0-344,160.325821,3084.02637,
0,179,0-179,AST,554.551697,0-345,0-346,0-346,308.39505,1971.77881,
0,180,0-180,Hct,32.0286674,0-347,0-348,0-348,211.761017,779.565674,
0,181,0-181,Potassium,4.15025663,0-349,0-350,0-350,95.9258423,390.323578,
0,182,0-182,Magnesium,2.02012682,0-351,0-352,0-352,108.565552,503.307465,
0,183,0-183,SBP,158.0,0-353,0-354,0-354,42.7400665,50.3396835,
0,184,0-184,Hct,29.6117878,0-355,0-356,0-356,145.427521,1342.22949,
0,185,0-185,HospAdmTime,-18.3299999,0-357,0-358,0-358,135.006271,479.570923,
0,186,0-186,PaCO2,41.4338417,0-359,0-360,0-360,146.497467,1650.14539,
0,187,0-187,HospAdmTime,-168.869995,0-361,0-362,0-362,47.7647705,303.418823,
0,188,0-188,FiO2,0.709999979,0-363,0-364,0-364,28.3482361,21.2798939,
0,189,0-189,Fibrinogen,254.574081,0-365,0-366,0-366,62.8433838,730.614929,
0,190,0-190,Bilirubin_direct,0.386249989,0-367,0-368,0-368,44.1261063,17.0597897,
0,191,0-191,SOFA,6.0,0-369,0-370,0-370,57.385376,680.978943,
0,192,0-192,Chloride,106.150764,0-371,0-372,0-372,85.9318695,351.80188,
0,193,0-193,SBP,117.5,0-373,0-374,0-374,22.2189369,19.1793671,
0,194,0-194,ICULOS,241.0,0-375,0-376,0-376,46.8684998,192.29895,
0,195,0-195,Leaf,,,,,-0.188888893,17.0,
0,196,0-196,ICULOS,128.0,0-377,0-378,0-378,68.9667053,184.035461,
0,197,0-197,DBP,46.0,0-379,0-380,0-380,91.366684,106.298943,
0,198,0-198,HR,79.0,0-381,0-382,0-382,89.4477921,199.535461,
0,199,0-199,Magnesium,2.08030772,0-383,0-384,0-384,80.0637665,468.348206,
0,200,0-200,SBP,147.0,0-385,0-386,0-386,44.155426,420.625458,
0,201,0-201,ICULOS,66.0,0-387,0-388,0-388,78.8608856,365.369873,
0,202,0-202,HCO3,22.7964077,0-389,0-390,0-390,192.179626,2103.97144,
0,203,0-203,HospAdmTime,-316.809998,0-391,0-392,0-392,75.6782837,621.791321,
0,204,0-204,ICULOS,98.0,0-393,0-394,0-394,53.7058678,131.467468,
0,205,0-205,HospAdmTime,-0.0500000007,0-395,0-396,0-396,64.1932068,231.171463,
0,206,0-206,BUN,28.4066982,0-397,0-398,0-398,83.3651657,193.244736,
0,207,0-207,Leaf,,,,,-0.189041093,17.25,
0,208,0-208,O2Sat,98.0285721,0-399,0-400,0-400,19.8901367,19.3994732,
0,209,0-209,HospAdmTime,-225.259995,0-401,0-402,0-402,20.3119583,16.3695793,
0,210,0-210,Lactate,2.46609926,0-403,0-404,0-404,47.8878784,183.459259,
0,211,0-211,Leaf,,,,,-0.142857149,2.5,
0,212,0-212,SBP,135.5,0-405,0-406,0-406,14.6326017,16.1494732,
0,213,0-213,SBP,134.0,0-407,0-408,0-408,42.917305,23.1494732,
0,214,0-214,Leaf,,,,,-0.192660555,26.25,
0,215,0-215,ICULOS,73.0,0-409,0-410,0-410,24.3045406,32.4293671,
0,216,0-216,O2Sat,97.0500031,0-411,0-412,0-412,17.6067429,41.6984177,
0,217,0-217,MAP,53.0,0-413,0-414,0-414,16.4237671,286.068298,
0,218,0-218,Leaf,,,,,-0.127272725,1.75,
0,219,0-219,HR,109.0,0-415,0-416,0-416,66.7585297,121.076202,
0,220,0-220,Alkalinephos,125.0,0-417,0-418,0-418,24.0889664,24.7798939,
0,221,0-221,TroponinI,11.0821056,0-419,0-420,0-420,18.4575806,107.165886,
0,222,0-222,Leaf,,,,,-0.155555561,3.5,
0,223,0-223,Magnesium,2.03984761,0-421,0-422,0-422,155.730103,2368.01587,
0,224,0-224,pH,7.40294361,0-423,0-424,0-424,110.334564,105.008209,
0,225,0-225,PaCO2,40.5097198,0-425,0-426,0-426,307.914062,8191.90381,
0,226,0-226,HospAdmTime,0.0,0-427,0-428,0-428,171.487717,2059.53149,
0,227,0-227,O2Sat,97.0500031,0-429,0-430,0-430,9.74197578,13.3994732,
0,228,0-228,HospAdmTime,-27.3799992,0-431,0-432,0-432,29.9358444,47.1195793,
0,229,0-229,Bilirubin_total,1.85109484,0-433,0-434,0-434,59.782608,46.9293671,
0,230,0-230,SBP,146.0,0-435,0-436,0-436,45.2862549,668.275208,
0,231,0-231,Leaf,,,,,-0.138461545,2.25,
0,232,0-232,ICULOS,203.0,0-437,0-438,0-438,15.9887085,124.214836,
0,233,0-233,FiO2,0.529999971,0-439,0-440,0-440,51.2563171,198.502945,
0,234,0-234,Calcium,7.00294113,0-441,0-442,0-442,160.256622,491.307465,
0,235,0-235,Chloride,105.124611,0-443,0-444,0-444,34.261982,72.1875763,
0,236,0-236,pH,7.37325573,0-445,0-446,0-446,40.5817184,39.9592628,
0,237,0-237,DBP,97.0,0-447,0-448,0-448,26.8450623,221.041046,
0,238,0-238,ICULOS,267.0,0-449,0-450,0-450,33.2073212,168.894196,
0,239,0-239,Leaf,,,,,-0.150000006,3.0,
0,240,0-240,Lactate,1.9059459,0-451,0-452,0-452,23.9135437,244.320938,
0,241,0-241,Calcium,6.72198105,0-453,0-454,0-454,1.32089233,134.924103,
0,242,0-242,PaCO2,28.0,0-455,0-456,0-456,8.18029976,3.52989459,
0,243,0-243,HospAdmTime,-68.8700027,0-457,0-458,0-458,202.1716,1795.71838,
0,244,0-244,Phosphate,3.47409081,0-459,0-460,0-460,85.5193787,94.6169434,
0,245,0-245,SBP,86.0,0-461,0-462,0-462,149.978516,1035.45728,
0,246,0-246,BUN,21.1397629,0-463,0-464,0-464,100.635315,495.185242,
0,247,0-247,BUN,28.69697,0-465,0-466,0-466,202.390808,613.660645,
0,248,0-248,Alkalinephos,105.650002,0-467,0-468,0-468,161.507492,405.64978,
0,249,0-249,Alkalinephos,112.881943,0-469,0-470,0-470,179.60498,1147.68787,
0,250,0-250,Chloride,105.922699,0-471,0-472,0-472,111.115166,140.076202,
0,251,0-251,TroponinI,2.82800007,0-473,0-474,0-474,46.0909195,157.994736,
0,252,0-252,Hct,29.7723598,0-475,0-476,0-476,54.2147789,61.7092628,
0,253,0-253,HospAdmTime,-30.6000004,0-477,0-478,0-478,96.7074738,616.437866,
0,254,0-254,PTT,42.5413132,0-479,0-480,0-480,153.144287,1752.24792,
0,255,0-255,Lactate,2.31663156,0-481,0-482,0-482,201.901367,3052.78613,
0,256,0-256,AST,161.07547,0-483,0-484,0-484,156.570206,594.190491,
0,257,0-257,TroponinI,7.06811571,0-485,0-486,0-486,106.436584,150.475677,
0,258,0-258,O2Sat,89.25,0-487,0-488,0-488,31.0007629,43.2798958,
0,259,0-259,HCO3,24.4755154,0-489,0-490,0-490,143.215912,242.486526,
0,260,0-260,O2Sat,99.75,0-491,0-492,0-492,148.166382,2134.56689,
0,261,0-261,HR,63.0,0-493,0-494,0-494,30.8007393,20.3396835,
0,262,0-262,Bilirubin_total,0.994354844,0-495,0-496,0-496,30.3813171,288.619873,
0,263,0-263,Leaf,,,,,0.152036548,7.33968353,
0,264,0-264,DBP,39.0,0-497,0-498,0-498,28.4029541,106.809792,
0,265,0-265,Leaf,,,,,-0.155555561,3.5,
0,266,0-266,Leaf,,,,,0.176283598,11.6494732,
0,267,0-267,SaO2,91.89608,0-499,0-500,0-500,66.3461151,78.3886261,
0,268,0-268,Lactate,3.7956233,0-501,0-502,0-502,61.0185699,569.65271,
0,269,0-269,HospAdmTime,-1.90999997,0-503,0-504,0-504,204.325684,405.684937,
0,270,0-270,ICULOS,36.0,0-505,0-506,0-506,103.951096,1120.50354,
0,271,0-271,HospAdmTime,-2.02999997,0-507,0-508,0-508,141.41272,1235.47595,
0,272,0-272,DBP,95.0,0-509,0-510,0-510,146.411133,3743.99658,
0,273,0-273,Magnesium,2.0018518,0-511,0-512,0-512,56.7147369,119.135994,
0,274,0-274,Phosphate,3.69547248,0-513,0-514,0-514,140.250702,842.15271,
0,275,0-275,Creatinine,1.37372839,0-515,0-516,0-516,26.9512787,57.3097878,
0,276,0-276,O2Sat,96.0833359,0-517,0-518,0-518,99.2740479,109.896835,
0,277,0-277,AST,141.647064,0-519,0-520,0-520,3.79217529,62.8071556,
0,278,0-278,Leaf,,,,,-0.142857149,2.5,
0,279,0-279,Leaf,,,,,-0.170370385,5.75,
0,280,0-280,PTT,39.7109184,0-521,0-522,0-522,33.5782776,71.4674683,
0,281,0-281,SBP,99.0,0-523,0-524,0-524,242.880615,1763.96545,
0,282,0-282,Bilirubin_total,2.75736427,0-525,0-526,0-526,105.866646,1139.05774,
0,283,0-283,SaO2,90.2597656,0-527,0-528,0-528,37.7798309,71.3695755,
0,284,0-284,PaCO2,40.1424446,0-529,0-530,0-530,86.2501831,970.120483,
0,285,0-285,HR,68.0,0-531,0-532,0-532,91.531662,681.063049,
0,286,0-286,FiO2,0.551222801,0-533,0-534,0-534,171.488678,482.981262,
0,287,0-287,ICULOS,44.0,0-535,0-536,0-536,147.706299,363.426727,
0,288,0-288,Magnesium,2.12959719,0-537,0-538,0-538,204.368759,760.196106,
0,289,0-289,FiO2,0.546426058,0-539,0-540,0-540,86.6804352,756.291321,
0,290,0-290,HospAdmTime,-4.28000021,0-541,0-542,0-542,158.724075,69.1793671,
0,291,0-291,Potassium,4.01454639,0-543,0-544,0-544,24.6665916,14.6494732,
0,292,0-292,ICULOS,51.0,0-545,0-546,0-546,66.8399353,126.619576,
0,293,0-293,ICULOS,7.0,0-547,0-548,0-548,98.2091217,133.448425,
0,294,0-294,Alkalinephos,110.632072,0-549,0-550,0-550,76.0320206,409.060089,
0,295,0-295,ICULOS,13.0,0-551,0-552,0-552,112.854752,1768.25684,
0,296,0-296,HospAdmTime,-0.0199999996,0-553,0-554,0-554,80.3214722,506.174408,
0,297,0-297,Phosphate,3.75157905,0-555,0-556,0-556,59.74683,40.4891586,
0,298,0-298,SBP,128.0,0-557,0-558,0-558,43.7919312,504.141876,
0,299,0-299,HospAdmTime,0.0,0-559,0-560,0-560,102.48439,751.997986,
0,300,0-300,BUN,27.6573315,0-561,0-562,0-562,26.4914551,25.2798939,
0,301,0-301,BUN,17.9065342,0-563,0-564,0-564,32.6757202,56.3478928,
0,302,0-302,Alkalinephos,118.117859,0-565,0-566,0-566,98.8692703,48.2690506,
0,303,0-303,Calcium,7.80514336,0-567,0-568,0-568,25.2944145,14.3695784,
0,304,0-304,ICULOS,13.0,0-569,0-570,0-570,25.0559998,99.1494751,
0,305,0-305,Chloride,108.149864,0-571,0-572,0-572,63.7016144,527.60376,
0,306,0-306,HospAdmTime,-657.0,0-573,0-574,0-574,62.8199501,61.0788422,
0,307,0-307,HospAdmTime,-285.329987,0-575,0-576,0-576,12.7517929,39.5298958,
0,308,0-308,HospAdmTime,-0.0399999991,0-577,0-578,0-578,25.5999718,16.1494732,
0,309,0-309,PTT,34.4140739,0-579,0-580,0-580,20.0105591,140.144196,
0,310,0-310,Leaf,,,,,-0.127272725,1.75,
0,311,0-311,MAP,62.0,0-581,0-582,0-582,9.23147011,5.55978918,
0,312,0-312,Leaf,,,,,0.193692163,78.2664185,
0,313,0-313,Magnesium,2.0056963,0-583,0-584,0-584,23.671936,523.060364,
0,314,0-314,Leaf,,,,,-0.146666676,2.75,
0,315,0-315,Calcium,6.92410088,0-585,0-586,0-586,17.4335327,124.625153,
0,316,0-316,HospAdmTime,-0.00999999978,0-587,0-588,0-588,16.9515095,6.02989483,
0,317,0-317,MAP,76.0,0-589,0-590,0-590,32.5977478,30.3994732,
0,318,0-318,O2Sat,97.0500031,0-591,0-592,0-592,45.4459381,289.660614,
0,319,0-319,PTT,38.4094734,0-593,0-594,0-594,26.0990295,250.041046,
0,320,0-320,Leaf,,,,,-0.176470593,7.5,
0,321,0-321,Alkalinephos,118.117859,0-595,0-596,0-596,117.000259,170.176727,
0,322,0-322,Lactate,3.18027949,0-597,0-598,0-598,59.6116791,294.070923,
0,323,0-323,Fibrinogen,310.25,0-599,0-600,0-600,42.7458115,135.255569,
0,324,0-324,HCO3,24.528223,0-601,0-602,0-602,110.772285,1960.74854,
0,325,0-325,Lactate,1.96149123,0-603,0-604,0-604,47.1617508,31.6195793,
0,326,0-326,FiO2,0.487484068,0-605,0-606,0-606,54.346344,125.625153,
0,327,0-327,HR,109.0,0-607,0-608,0-608,70.9201202,440.70694,
0,328,0-328,Hgb,10.4302235,0-609,0-610,0-610,101.508812,417.421448,
0,329,0-329,Leaf,,,,,-0.18571429,13.0,
