feature,mean_abs_shap,mean_shap_negative,mean_shap_positive
SBP_min_6h_5,0.053279832,-0.018368494,-0.00530839
O2Sat_missing_interval_mean_global_1,0.052844755,-0.027189832,0.013476393
Resp_mean_6h_2,0.052478574,-0.015824907,0.006145413
Resp_std_6h_5,0.052278962,-0.0009896443,0.019547926
O2Sat_std_6h_5,0.050810594,-0.019153437,6.0334867e-05
O2Sat_mean_6h_3,0.050667334,0.0069424408,0.026489696
MAP_median_6h_4,0.05037193,-0.007181256,0.0073364777
HR_mean_6h_8,0.05003536,-0.014342029,0.011896896
O2Sat_min_6h_2,0.049422726,-0.02689179,-0.00969785
Resp_min_6h_8,0.049238402,-0.01593124,0.015894933
HR_median_6h_5,0.049218155,-0.0034945353,0.016593443
Resp_mean_6h_8,0.04898825,-0.025194313,0.0021570793
Resp_std_6h_6,0.04881568,-0.010168734,0.013240942
O2Sat_diff_std_6h_5,0.0487416,-0.01713378,0.009799823
SBP_median_6h_8,0.048351817,-0.010720352,0.0124194855
Resp_max_6h_5,0.047843266,-0.014467226,0.0021757376
Resp_diff_std_6h_6,0.04762501,-0.033394285,-0.013897279
SBP_median_6h_4,0.047614217,-0.00035313412,0.027291054
O2Sat_median_6h_8,0.047599178,-0.01323856,0.014471276
Resp_mean_6h_3,0.04716106,-0.018571816,0.0007493401
Resp_std_6h_4,0.046556972,-0.006397341,0.017197652
HR_mean_6h_3,0.045766752,-0.028568976,-0.0022352447
O2Sat_median_6h_7,0.045574892,-0.020263514,0.004139201
O2Sat_diff_std_6h_8,0.045468524,-0.020313771,0.010373893
HR_mean_6h_5,0.04540166,-0.02150782,-0.0039553517
Resp_min_6h_7,0.044724617,-0.009804237,0.019688135
MAP_std_6h_4,0.044626184,-0.0074939085,0.020360503
O2Sat_max_6h_2,0.044613242,-0.016825609,-0.0010354955
MAP_mean_6h_4,0.04430196,0.009411491,0.016296437
O2Sat_max_6h_6,0.044189394,0.0008322028,0.011093276
SBP_min_6h_7,0.044142507,-0.0050450275,0.012763455
O2Sat_min_6h_6,0.043964677,-0.005096986,0.013819799
HR_max_6h_3,0.043876696,0.014752044,0.021701459
O2Sat_min_6h_7,0.043587178,-0.0034360364,0.0037105414
SBP_max_6h_6,0.043298643,-0.012503763,0.0066405945
Resp_median_6h_4,0.04305347,-0.019349866,0.0012487887
Resp_max_6h_8,0.043010883,-0.0121548865,0.0073108757
HR_min_6h_6,0.04291073,-0.009314783,-0.0013734461
SBP_min_6h_6,0.042241205,-0.014664629,0.006135409
SBP_mean_6h_4,0.041859455,-0.015092645,0.0030514959
SBP_median_6h_3,0.041707896,-0.0032413632,0.0062202318
MAP_median_6h_3,0.041703038,0.007497414,0.032084905
HR_diff_std_6h_6,0.041669052,-0.009187665,0.016264226
MAP_mean_6h_2,0.040674206,0.0064767054,0.033348124
O2Sat_mean_6h_2,0.040165134,-0.014175719,0.013537969
Resp_max_6h_7,0.038872954,-0.010178444,0.0065878686
HR_median_6h_7,0.03886354,-0.0043217046,0.010380414
MAP_min_6h_8,0.038671024,0.00021420457,0.037365735
O2Sat_diff_std_6h_6,0.038349412,-0.0045914273,0.014389907
Resp_mean_6h_7,0.0378256,-0.003999809,0.01570251
Resp_max_6h_2,0.037729215,-0.023022385,-0.0017483645
O2Sat_max_6h_8,0.037729,-0.009385939,0.010080806
MAP_max_6h_3,0.03743568,-0.018988015,0.002622114
O2Sat_min_6h_5,0.03694551,-0.018480873,-0.011297346
MAP_mean_6h_7,0.036690567,-0.007048193,0.01184627
O2Sat_std_6h_6,0.036485437,-0.011682759,0.011847275
HR_min_6h_4,0.036216736,-0.004262505,0.007621471
Resp_max_6h_6,0.03609476,-0.0008958482,0.010899265
Resp_mean_6h_6,0.036007114,-0.012774899,0.002542732
SBP_mean_6h_7,0.035722747,0.014885593,0.022188744
HR_max_6h_6,0.03501811,0.011997944,0.0055469903
O2Sat_mean_6h_6,0.034657087,0.004919967,0.025784127
HR_min_6h_8,0.03457482,-0.012049181,0.0035903698
SBP_max_6h_2,0.033656854,-0.006860701,0.008234342
O2Sat_std_6h_4,0.033459846,-0.009443361,0.00496236
O2Sat_median_6h_6,0.033076804,-0.0046067145,0.015194237
HR_min_6h_2,0.033052612,-0.017872658,-0.0017388973
MAP_median_6h_7,0.032802507,-0.013154855,0.0028010171
HR_min_6h_7,0.03268932,-0.0029380606,0.007856329
O2Sat_min_6h_4,0.031563748,-0.008669871,-0.0038640136
HR_max_6h_5,0.031526394,-0.013329245,-0.0073416284
SBP_mean_6h_6,0.031428363,-0.004213494,0.011687879
O2Sat_mean_6h_4,0.03135577,0.0012174209,0.010257191
O2Sat_mean_6h_7,0.031294256,-0.0029671518,0.010437416
HR_mean_6h_7,0.031061402,-0.018450601,-0.00968496
MAP_mean_6h_3,0.030389654,-0.015233363,0.0010597293
HR_max_6h_7,0.030077742,-0.003150784,0.013041774
HR_median_6h_3,0.029710561,-0.0082826875,0.0065357317
Resp_max_6h_3,0.029569138,-0.0098097995,0.003014089
Resp_min_6h_6,0.029488744,-0.0042881677,0.01938381
HR_min_6h_5,0.029464968,-0.00036634295,0.016292762
MAP_median_6h_5,0.029154984,-0.014852011,-0.0036991292
SBP_max_6h_7,0.028984051,-0.010504952,0.0030125114
HR_max_6h_4,0.028642667,-0.0089194225,0.0039821425
SBP_max_6h_3,0.027911289,-0.0059959376,0.007889896
O2Sat_min_6h_8,0.027828267,-0.0055150604,-0.0012268976
HR_mean_6h_2,0.027360488,-0.012409072,0.0031766447
HR_max_6h_2,0.026939958,-0.008198606,0.00240422
HR_min_6h_3,0.02685617,-0.011209376,0.0026152006
HR_mean_6h_4,0.026124625,-0.01078881,0.00034216788
SBP_max_6h_4,0.02543314,-0.0121015925,-0.0061609442
MAP_max_6h_6,0.02537513,-0.00415284,0.0073076608
Resp_mean_6h_4,0.025127022,0.004067871,0.011851008
O2Sat_median_6h_5,0.024739502,-0.0067907753,0.00084676663
O2Sat_max_6h_4,0.022589387,0.002372578,0.015417425
MAP_max_6h_7,0.021596853,-0.0041056536,0.018745864
MAP_mean_6h_5,0.021454673,-0.0058607343,0.00025484274
HR_median_6h_4,0.02060864,-0.0041626245,0.0014799078
HR_mean_6h_6,0.019305177,0.008545848,0.010548897
Resp_mean_6h_5,0.01916494,-0.002223026,0.0038261146
O2Sat_mean_6h_5,0.018925156,-0.0052120034,0.0070578293
HR_median_6h_6,0.0179836,-0.008807528,-0.0017752195
O2Sat_median_6h_3,0.017730813,0.00021273186,0.0087584965
MAP_max_6h_5,0.017495628,-0.004478118,0.0026199562
Resp_median_6h_5,0.014885698,-0.0018402678,0.0020635603
O2Sat_median_6h_4,0.012666397,-0.005021439,0.0012488369
SBP_max_6h_5,0.011178224,-0.0014197659,0.0038444023
qSOFA_score_last_global_1,0.011045907,-0.004572378,0.0032371036
O2Sat_max_6h_7,0.009091063,-0.0013447679,0.0019879115
qSOFA_score_max_global_1,0.008971149,-0.00058957614,0.004223642
qSOFA_score_median_global_1,0.0049809273,-0.002734112,-0.0006555018
SOFA_score_median_global_1,0.0047249147,-4.407423e-05,0.002250805
O2Sat_max_6h_5,0.0036357122,-0.0013557984,-0.00033146585
SOFA_score_max_global_8,0.0,0.0,0.0
SOFA_score_last_global_7,0.0,0.0,0.0
SOFA_score_last_global_5,0.0,0.0,0.0
SOFA_score_last_global_4,0.0,0.0,0.0
SOFA_score_last_global_3,0.0,0.0,0.0
O2Sat_mean_6h_1,0.0,0.0,0.0
SOFA_score_last_global_2,0.0,0.0,0.0
Resp_missing_interval_mean_global_8,0.0,0.0,0.0
SOFA_score_last_global_8,0.0,0.0,0.0
SOFA_score_max_global_5,0.0,0.0,0.0
Resp_diff_std_6h_2,0.0,0.0,0.0
SOFA_score_max_global_4,0.0,0.0,0.0
SOFA_score_max_global_3,0.0,0.0,0.0
SOFA_score_max_global_2,0.0,0.0,0.0
SOFA_score_max_global_7,0.0,0.0,0.0
SOFA_score_mean_global_5,0.0,0.0,0.0
SOFA_score_median_global_7,0.0,0.0,0.0
Resp_missing_interval_mean_global_2,0.0,0.0,0.0
NEWS_score_mean_global_2,0.0,0.0,0.0
Resp_median_6h_2,0.0,0.0,0.0
Resp_median_6h_1,0.0,0.0,0.0
NEWS_score_mean_global_3,0.0,0.0,0.0
SOFA_score_mean_global_4,0.0,0.0,0.0
HR_median_6h_2,0.0,0.0,0.0
HR_median_6h_1,0.0,0.0,0.0
SOFA_score_mean_global_3,0.0,0.0,0.0
SOFA_score_mean_global_2,0.0,0.0,0.0
MAP_missing_interval_mean_global_8,0.0,0.0,0.0
NEWS_score_mean_global_4,0.0,0.0,0.0
Resp_mean_6h_1,0.0,0.0,0.0
NEWS_score_mean_global_5,0.0,0.0,0.0
SOFA_score_median_global_8,0.0,0.0,0.0
SOFA_score_mean_global_7,0.0,0.0,0.0
SOFA_score_mean_global_6,0.0,0.0,0.0
Resp_missing_interval_mean_global_7,0.0,0.0,0.0
Resp_missing_interval_mean_global_5,0.0,0.0,0.0
HR_diff_std_6h_2,0.0,0.0,0.0
HR_min_6h_1,0.0,0.0,0.0
HR_mean_6h_1,0.0,0.0,0.0
O2Sat_min_6h_1,0.0,0.0,0.0
SOFA_score_median_global_5,0.0,0.0,0.0
SOFA_score_median_global_4,0.0,0.0,0.0
SOFA_score_median_global_3,0.0,0.0,0.0
Resp_missing_interval_mean_global_4,0.0,0.0,0.0
SOFA_score_median_global_2,0.0,0.0,0.0
Resp_missing_interval_mean_global_3,0.0,0.0,0.0
Resp_missing_interval_mean_global_6,0.0,0.0,0.0
MAP_missing_interval_mean_global_6,0.0,0.0,0.0
SBP_missing_interval_mean_global_6,0.0,0.0,0.0
O2Sat_missing_interval_mean_global_6,0.0,0.0,0.0
HR_missing_interval_mean_global_6,0.0,0.0,0.0
SOFA_score_mean_global_8,0.0,0.0,0.0
qSOFA_score_last_global_6,0.0,0.0,0.0
qSOFA_score_max_global_6,0.0,0.0,0.0
NEWS_score_mean_global_7,0.0,0.0,0.0
qSOFA_score_median_global_6,0.0,0.0,0.0
qSOFA_score_mean_global_6,0.0,0.0,0.0
NEWS_score_last_global_6,0.0,0.0,0.0
NEWS_score_max_global_6,0.0,0.0,0.0
NEWS_score_median_global_6,0.0,0.0,0.0
NEWS_score_mean_global_6,0.0,0.0,0.0
SOFA_score_last_global_6,0.0,0.0,0.0
SOFA_score_max_global_6,0.0,0.0,0.0
SOFA_score_median_global_6,0.0,0.0,0.0
O2Sat_median_6h_1,0.0,0.0,0.0
O2Sat_missing_interval_mean_global_5,0.0,0.0,0.0
NEWS_score_mean_global_8,0.0,0.0,0.0
qSOFA_score_max_global_2,0.0,0.0,0.0
qSOFA_score_last_global_2,0.0,0.0,0.0
qSOFA_score_max_global_8,0.0,0.0,0.0
qSOFA_score_max_global_7,0.0,0.0,0.0
qSOFA_score_max_global_5,0.0,0.0,0.0
qSOFA_score_max_global_4,0.0,0.0,0.0
SBP_diff_std_6h_2,0.0,0.0,0.0
qSOFA_score_max_global_3,0.0,0.0,0.0
qSOFA_score_median_global_8,0.0,0.0,0.0
qSOFA_score_last_global_4,0.0,0.0,0.0
qSOFA_score_median_global_7,0.0,0.0,0.0
qSOFA_score_median_global_5,0.0,0.0,0.0
qSOFA_score_median_global_4,0.0,0.0,0.0
SBP_missing_interval_mean_global_3,0.0,0.0,0.0
qSOFA_score_median_global_3,0.0,0.0,0.0
qSOFA_score_median_global_2,0.0,0.0,0.0
MAP_min_6h_1,0.0,0.0,0.0
qSOFA_score_last_global_3,0.0,0.0,0.0
qSOFA_score_last_global_5,0.0,0.0,0.0
NEWS_score_median_global_2,0.0,0.0,0.0
HR_missing_interval_mean_global_4,0.0,0.0,0.0
O2Sat_missing_interval_mean_global_4,0.0,0.0,0.0
O2Sat_missing_interval_mean_global_3,0.0,0.0,0.0
O2Sat_missing_interval_mean_global_2,0.0,0.0,0.0
HR_missing_interval_mean_global_8,0.0,0.0,0.0
HR_missing_interval_mean_global_7,0.0,0.0,0.0
SBP_mean_6h_1,0.0,0.0,0.0
HR_missing_interval_mean_global_5,0.0,0.0,0.0
HR_missing_interval_mean_global_3,0.0,0.0,0.0
qSOFA_score_last_global_7,0.0,0.0,0.0
O2Sat_missing_interval_mean_global_7,0.0,0.0,0.0
HR_missing_interval_mean_global_2,0.0,0.0,0.0
SBP_median_6h_1,0.0,0.0,0.0
SBP_median_6h_2,0.0,0.0,0.0
O2Sat_missing_interval_mean_global_8,0.0,0.0,0.0
SBP_missing_interval_mean_global_2,0.0,0.0,0.0
qSOFA_score_last_global_8,0.0,0.0,0.0
qSOFA_score_mean_global_8,0.0,0.0,0.0
qSOFA_score_mean_global_7,0.0,0.0,0.0
SBP_missing_interval_mean_global_4,0.0,0.0,0.0
NEWS_score_max_global_2,0.0,0.0,0.0
NEWS_score_last_global_2,0.0,0.0,0.0
NEWS_score_max_global_8,0.0,0.0,0.0
NEWS_score_max_global_7,0.0,0.0,0.0
MAP_diff_std_6h_2,0.0,0.0,0.0
NEWS_score_max_global_5,0.0,0.0,0.0
NEWS_score_max_global_4,0.0,0.0,0.0
NEWS_score_max_global_3,0.0,0.0,0.0
NEWS_score_median_global_8,0.0,0.0,0.0
qSOFA_score_mean_global_4,0.0,0.0,0.0
NEWS_score_median_global_7,0.0,0.0,0.0
NEWS_score_median_global_5,0.0,0.0,0.0
NEWS_score_median_global_4,0.0,0.0,0.0
SBP_min_6h_1,0.0,0.0,0.0
O2Sat_median_6h_2,0.0,0.0,0.0
Resp_min_6h_1,0.0,0.0,0.0
NEWS_score_median_global_3,0.0,0.0,0.0
NEWS_score_last_global_3,0.0,0.0,0.0
MAP_missing_interval_mean_global_7,0.0,0.0,0.0
NEWS_score_last_global_4,0.0,0.0,0.0
NEWS_score_last_global_5,0.0,0.0,0.0
O2Sat_diff_std_6h_2,0.0,0.0,0.0
MAP_mean_6h_1,0.0,0.0,0.0
SBP_missing_interval_mean_global_5,0.0,0.0,0.0
SBP_missing_interval_mean_global_7,0.0,0.0,0.0
SBP_missing_interval_mean_global_8,0.0,0.0,0.0
MAP_missing_interval_mean_global_2,0.0,0.0,0.0
qSOFA_score_mean_global_3,0.0,0.0,0.0
MAP_median_6h_1,0.0,0.0,0.0
MAP_median_6h_2,0.0,0.0,0.0
MAP_missing_interval_mean_global_3,0.0,0.0,0.0
qSOFA_score_mean_global_2,0.0,0.0,0.0
MAP_missing_interval_mean_global_4,0.0,0.0,0.0
MAP_missing_interval_mean_global_5,0.0,0.0,0.0
NEWS_score_last_global_8,0.0,0.0,0.0
NEWS_score_last_global_7,0.0,0.0,0.0
qSOFA_score_mean_global_5,0.0,0.0,0.0
