feature,mean_abs_shap,mean_shap_negative,mean_shap_positive
MAP_mean_global,0.055988155,-0.012716534,0.008348308
Resp_last_6h3,0.055707123,-0.009836103,0.014426965
SBP_max_6h2,0.055681486,-0.01640407,0.007434345
Alkalinephos_mean_6h2,0.05530028,-0.019433158,-0.0006159775
WBC_mean_6h1,0.05470879,0.008940045,0.0048869275
Temp_last_6h1,0.054258607,-0.023011647,0.011427077
SBP_last_6h2,0.054109335,-0.019068424,0.0020599132
MAP_mean_6h3,0.05396304,-0.026575545,0.0064190845
Resp_mean_global,0.053643767,-0.017447822,0.017357297
DBP_missing_count_global_y,0.053601794,-0.016842548,0.0032379283
MAP_mean_6h4,0.053296193,-0.015558328,0.0070757666
HR_mean_6h3,0.05316521,-0.0014385652,0.009031712
Resp_max_global,0.052579496,-0.01741911,0.012198937
O2Sat_mean_6h1,0.05253141,-0.014921045,0.0072210203
DBP_mean_global,0.052518096,-0.007990864,0.007554764
Fibrinogen_mean_6h2,0.050811853,-0.007893876,-0.0049381787
pH_last_6h3,0.049975682,0.013422766,-0.0072943983
Age_mean_6h3,0.049616914,-0.0061119404,0.010050766
pH_max_6h3,0.049537774,-0.01124008,0.014298243
Resp_mean_6h2,0.049069546,-0.022269363,0.0010707326
MAP_last_6h5,0.04851465,-0.02296616,-0.0010782031
HR_last_6h2,0.04812889,-0.019755105,0.006923582
DBP_mean_6h7,0.04782903,-0.010706214,0.0057727373
DBP_mean_6h2,0.04754779,-0.018196581,-0.00055258104
SBP_mean_6h5,0.047521975,-0.0041072294,0.011623645
WBC_max_6h11,0.047394253,-0.017911913,0.09389693
O2Sat_mean_6h7,0.047120925,-0.0057687666,0.001724026
WBC_max_6h7,0.046734408,-0.014749064,0.012167174
Resp_last_6h4,0.046568014,-0.01957232,0.0016588011
BaseExcess_mean_6h7,0.04644494,-0.022740433,-0.0044499086
TroponinI_last_6h3,0.04590346,-0.01858292,0.010416313
Temp_max_6h9,0.04581819,-0.027165739,0.018314444
Temp_max_6h3,0.04572124,-0.015564226,0.01231858
pH_mean_6h3,0.045611806,0.008534841,-0.0033291404
MAP_last_6h7,0.045530193,-0.010819732,0.005632641
SBP_last_6h6,0.045376692,-0.021909773,0.005729603
HR_mean_global,0.045245096,0.01291152,0.031396408
Bilirubin_total_missing_interval_mean_global_y,0.043752257,-0.004804348,0.026434703
Lactate_max_global,0.043717604,-0.0016617345,0.010347331
DBP_last_6h4,0.043694973,0.00025839004,0.0064507104
Temp_last_6h11,0.043471098,-0.00800016,0.1128379
SBP_mean_6h7,0.042891465,-0.016736709,-0.0021580535
Fibrinogen_max_global,0.04213661,-0.0064271633,-0.0019424282
DBP_max_global,0.041778818,-0.009807984,0.015981227
MAP_last_6h1,0.041626442,-0.0050506876,0.0067212796
FiO2_mean_6h2,0.041508287,-0.018785205,-0.0019161071
Resp_last_6h7,0.041383047,-0.014746761,-0.00033530899
FiO2_max_6h7,0.04099652,-0.02351359,-0.007099119
HR_missing_interval_mean_global_y,0.04079993,-0.01804319,0.0018845272
O2Sat_mean_6h2,0.040755518,-0.012679036,0.004697154
AST_missing_interval_mean_global_y,0.0402692,0.022583405,0.04586195
pH_last_6h5,0.040086925,0.00050486735,0.0029392028
TroponinI_last_6h2,0.03984245,-0.004109488,0.0054597
HR_max_global,0.039776407,-0.0006810203,0.024868995
HR_max_6h1,0.039570857,0.003349061,0.0016631531
Bilirubin_total_mean_6h1,0.0394607,0.0029725817,0.0026063842
Lactate_max_6h3,0.039342325,-0.002297565,0.0072049513
FiO2_mean_6h4,0.039324813,-0.010410557,0.008481744
Temp_last_6h5,0.03930405,-0.01532226,0.008102404
DBP_mean_6h1,0.039064296,-0.0110363485,0.0047277533
Temp_max_6h1,0.03894717,-0.011361703,-0.00363105
BaseExcess_missing_count_global_y,0.038909916,-0.009303003,0.04567775
NEWS_max_global,0.038706757,-0.007491415,0.017695386
HR_mean_6h5,0.038173467,-0.004009427,0.0030461806
TroponinI_mean_global,0.037982468,-0.00363726,0.0017161435
Resp_max_6h1,0.037906744,-0.016718175,-0.0031534783
TroponinI_missing_interval_mean_global_y,0.037709046,-0.0015962848,0.0396244
MAP_max_6h3,0.037705723,8.576964e-05,0.0023314792
Resp_mean_6h4,0.037642125,-0.013617266,0.0013960511
O2Sat_max_6h2,0.036993716,-0.0051005315,0.005362235
Lactate_last_global,0.03687451,0.0014944371,0.0025137353
AST_mean_6h1,0.036597826,-0.0049647405,0.0048181503
Bilirubin_total_max_global,0.0363642,-0.010932433,0.0045935567
SBP_last_6h4,0.036248554,0.0057973918,0.01222654
FiO2_last_6h1,0.036071476,-0.005567784,4.050198e-05
MAP_mean_6h2,0.035670053,-0.0053329454,0.0033580032
Temp_last_6h4,0.035404313,-0.01076959,0.0023004648
O2Sat_missing_count_global_y,0.035176277,-0.013415963,-0.0017873575
O2Sat_last_6h1,0.03506844,-0.010791567,0.002105494
pH_max_6h8,0.034597117,-0.008710045,0.008983994
Temp_last_6h8,0.034456864,-0.008663182,-0.011884189
Alkalinephos_mean_6h1,0.034142405,0.0038947272,0.013130006
WBC_max_6h4,0.03406873,0.0024022907,0.006983799
Temp_last_6h6,0.0339841,-0.0028227181,0.0023506663
AST_last_6h3,0.033897422,-0.002044678,0.010053536
DBP_last_6h2,0.033838075,-0.007311759,0.0040509016
WBC_mean_global,0.03378579,0.00049926393,-0.000632998
AST_missing_count_global_y,0.033756167,-0.018025152,-0.019254183
pH_max_6h4,0.033690687,0.0021665473,0.006019498
Age_mean_6h4,0.033369407,-0.009030427,0.0014550479
SBP_mean_6h2,0.033256277,-0.007382259,0.0023208696
HR_last_6h4,0.033146285,-0.0138592115,0.0030734993
pH_last_6h7,0.03311916,-0.012558379,0.0022630347
SBP_max_6h5,0.033064347,-0.011408489,0.0051004477
WBC_max_6h3,0.03262118,-0.00559695,-0.00287961
Fibrinogen_last_6h1,0.032582425,-0.0034716683,-0.0014455925
DBP_last_6h3,0.032398496,-0.013805604,0.007965283
pH_max_6h1,0.03239757,-0.012686521,-0.0022521846
TroponinI_last_6h6,0.03234069,-0.003126946,0.0020276469
Temp_last_6h7,0.03232161,-0.0049185874,0.0052568633
MAP_missing_interval_mean_global_y,0.031866018,-0.013454768,0.0011104279
pH_mean_6h1,0.03172083,-0.001688902,-0.001387254
qSOFA_last_global,0.0316863,-0.0053874725,0.009503661
EtCO2_last_global,0.031532347,-0.007698862,0.0012880868
Resp_last_6h2,0.031501688,-0.012025941,-0.0017272747
Fibrinogen_missing_count_global_y,0.031407923,-0.014573322,0.0023331621
FiO2_last_6h4,0.03134772,-0.010038823,0.0030445
BaseExcess_mean_global,0.031314764,0.0010829534,0.008027212
Lactate_last_6h2,0.03124286,-0.010140389,-0.0006542292
WBC_last_6h7,0.030987808,-0.014950966,-0.0069404813
HR_max_6h2,0.030963726,-0.009977795,0.0012867855
BaseExcess_last_6h4,0.030790137,-0.016933253,-0.0070284433
Fibrinogen_max_6h2,0.030766495,-0.0017265966,0.0005646236
BaseExcess_last_6h1,0.03055344,0.004455204,0.008781088
Temp_max_6h11,0.030373016,-0.0090940595,0.06716378
BaseExcess_max_6h3,0.030313967,-0.0027553814,0.004388193
Resp_max_6h4,0.030101947,-0.0091975555,0.0005103561
WBC_last_6h2,0.030083409,-6.284073e-05,0.009726757
TroponinI_missing_count_global_y,0.03007804,-0.0014358651,-0.0045396523
Alkalinephos_mean_6h3,0.03000233,-0.0066910577,-0.010103038
BaseExcess_mean_6h2,0.02999386,0.0014891447,0.0010760014
SBP_max_6h6,0.029700007,-0.012994744,0.00033835878
FiO2_mean_global,0.029555246,-0.010625125,-0.00095961354
BaseExcess_last_6h3,0.029545307,-0.0031448186,0.0044780513
HR_mean_6h12,0.029397678,-0.005333298,0.074894674
Temp_mean_6h5,0.029084802,-0.0034643612,0.003101308
BaseExcess_max_6h2,0.028205274,-0.007214586,0.004617446
Bilirubin_total_max_6h2,0.028016292,0.007919202,0.008411046
pH_max_6h7,0.027880093,-0.022809932,-0.00900792
Alkalinephos_last_6h3,0.02781935,0.001185909,0.012886262
SBP_last_6h3,0.027698768,-0.008105726,0.0021229135
Bilirubin_direct_last_6h3,0.02756744,-0.0032683027,0.0034016995
Lactate_mean_6h3,0.027200293,-0.0024344434,0.0024548261
pH_mean_6h4,0.027045563,-0.009190694,0.005031913
Temp_mean_6h9,0.026785571,-0.012750118,0.004140603
Alkalinephos_mean_6h8,0.026586937,-0.0060844054,0.0021549745
MAP_max_6h7,0.026461098,-0.018685011,-0.009649564
HR_mean_6h1,0.026414542,-0.004250937,0.008188394
WBC_max_6h2,0.026365519,-0.00486684,0.0058585466
DBP_mean_6h4,0.026357315,0.006438756,0.0064891726
FiO2_mean_6h1,0.026292851,-0.009201342,0.0017309575
AST_last_6h1,0.026270663,-0.003121163,0.0007846548
Bilirubin_total_last_global,0.026204659,0.004379336,0.006410215
Temp_last_6h3,0.026172925,-0.010921165,0.0056355293
pH_mean_global,0.026098376,0.0017937513,0.013203965
Lactate_max_6h1,0.026062863,-0.008949709,0.0015270441
SBP_max_6h3,0.02604733,0.014024677,0.007965946
O2Sat_max_6h6,0.026043463,0.0027753422,0.0041114883
O2Sat_max_6h3,0.025917757,-0.010457425,-0.0036393323
Lactate_mean_6h4,0.025819592,-0.009370788,-0.00033006765
EtCO2_last_6h6,0.025766838,-0.0044549257,0.0009662687
MAP_max_6h6,0.025761757,-5.1155144e-05,0.0043651816
Alkalinephos_max_6h1,0.025475828,-0.00073695736,0.0041859755
Lactate_last_6h1,0.025440654,-0.006142027,0.00260864
TroponinI_mean_6h1,0.025414383,-0.004383027,0.0040802998
BaseExcess_mean_6h5,0.025342034,-0.010634105,-0.0017063767
Resp_mean_6h9,0.025053382,-0.013335084,-0.0036405523
DBP_mean_6h3,0.025029922,-0.006541414,-0.0029940743
Resp_max_6h6,0.02498211,-0.012121411,0.0010785272
Fibrinogen_max_6h4,0.02496104,-0.010127537,0.00014603017
Resp_max_6h3,0.024955286,-0.0041078487,0.007382756
FiO2_last_6h6,0.02471487,-0.010535647,-0.0009679063
Age_mean_6h6,0.024701938,-0.0036111982,0.011504627
Resp_max_6h7,0.024691788,-0.005103801,0.0022019977
Bilirubin_total_mean_6h3,0.02464318,0.0012345519,0.008806805
pH_mean_6h2,0.024329295,-0.0031027428,-0.00022006192
Lactate_mean_6h7,0.024176309,-0.008115282,-0.0004528794
O2Sat_mean_6h5,0.024133215,-0.009506634,-0.0007082438
Temp_mean_6h6,0.02393253,0.00380017,0.011979029
Age_mean_6h7,0.023920266,-0.0035018248,0.0038593109
MAP_max_6h4,0.023712244,0.00029930126,-0.0033392303
Bilirubin_direct_mean_6h4,0.023605572,-0.0026839147,0.001517573
pH_last_6h2,0.023412915,-0.0026099638,0.0024274124
MAP_max_6h1,0.023342777,-0.011770069,-0.002538343
Lactate_last_6h5,0.023092184,-0.0038722956,-0.0005278626
Alkalinephos_last_6h1,0.022975583,-0.005198688,0.0030523592
HR_mean_6h4,0.022968296,-0.0035061012,0.0015471346
MAP_last_6h4,0.02289375,0.0054273633,0.001465082
HR_last_6h12,0.022772053,-0.0038475636,0.05774418
Lactate_mean_6h1,0.022569982,-0.0027814829,0.0017551335
BaseExcess_last_6h7,0.02254844,-0.0013155828,0.0061318236
Alkalinephos_missing_count_global_y,0.02253928,-0.0044871774,0.022901779
O2Sat_max_6h7,0.022508083,-0.015426052,-0.0034973894
BaseExcess_max_6h4,0.022358432,-0.010263694,-0.0004781964
O2Sat_max_6h1,0.022338988,-0.0068642893,-0.00086605176
Temp_max_6h14,0.02223308,-0.0061270255,0.05011606
O2Sat_mean_6h8,0.022167014,-0.005489405,0.0009996499
EtCO2_mean_global,0.022124356,-0.0042100623,0.0003269045
pH_max_6h6,0.022116814,0.004076562,0.0064113154
O2Sat_last_6h5,0.02195341,-0.007952105,0.0034877923
DBP_mean_6h8,0.021872604,0.0063010636,0.011131858
Resp_mean_6h5,0.021830138,-0.008721037,-0.0034034862
Bilirubin_total_mean_global,0.021791944,-0.01177782,-0.00860052
pH_mean_6h7,0.021696907,-0.009400435,-0.0020087801
Resp_last_6h6,0.021469997,-0.0054383124,0.0009676475
Bilirubin_direct_max_6h7,0.02134879,-0.0077673886,-0.0031641107
HR_last_6h9,0.021261862,-0.0038360183,0.011213517
BaseExcess_mean_6h3,0.021056525,-0.0033759188,-0.0026389202
Resp_mean_6h6,0.020948699,-0.0068926946,0.0035438614
Bilirubin_total_max_6h1,0.02093558,-0.00085206825,0.00038420572
FiO2_last_6h7,0.020896345,-0.0077204225,-0.001587491
BaseExcess_last_global,0.020769535,0.00047293617,0.009387743
FiO2_mean_6h6,0.020758903,-0.002071291,-6.4929714e-05
AST_mean_6h4,0.020589257,-0.0054309396,0.0030323577
Resp_last_6h8,0.020473547,-0.004339528,-0.003712374
HR_max_6h4,0.020233283,-0.0061205775,0.00091090164
Fibrinogen_max_6h1,0.020216437,-0.0028218075,0.0008633873
FiO2_max_6h6,0.020080233,-5.7820464e-05,0.002798998
SBP_max_6h7,0.020031694,-0.0069737267,-0.0026082166
pH_max_6h5,0.020031378,0.00020856145,0.005329085
Alkalinephos_last_6h7,0.01980385,-0.0037419493,-0.0014394092
pH_missing_count_global_y,0.019771034,0.0043546204,0.023266641
Temp_mean_6h7,0.019747315,-0.005839406,-0.0010720711
Resp_max_6h5,0.019615259,0.0028591943,0.010596584
Fibrinogen_missing_interval_mean_global_y,0.019349359,0.0012913469,0.011612832
FiO2_max_6h8,0.019247271,-0.003806006,0.0022903814
AST_mean_6h3,0.019236105,-0.0037241324,0.0023533492
TroponinI_last_6h1,0.01919937,-0.0039802035,-0.0002379135
FiO2_mean_6h3,0.01888072,-0.00054900296,0.0033443912
AST_max_6h1,0.018773606,-0.001529158,0.0005011606
Bilirubin_total_mean_6h5,0.018669957,-0.0010364915,0.005090122
EtCO2_max_6h2,0.018439636,0.0013475361,0.003447801
Bilirubin_total_last_6h7,0.018432856,-0.002495595,0.0032872031
AST_max_6h2,0.018432746,-0.0025528972,-0.0015807109
Age_mean_6h9,0.018415881,-0.00844728,-0.004274679
FiO2_last_6h2,0.01840117,0.0019009395,0.0039216024
Alkalinephos_mean_6h4,0.018342456,-0.0019128729,0.0022370943
Alkalinephos_max_6h3,0.018318774,-0.0020812992,0.0005808619
AST_mean_6h2,0.01831298,-0.003342405,-0.0007055081
Fibrinogen_mean_global,0.01825034,6.694868e-05,0.0027006713
Bilirubin_direct_max_6h4,0.018188687,-0.0012877453,-0.002069467
Bilirubin_total_max_6h5,0.018165452,0.0008888318,0.0023063885
FiO2_mean_6h7,0.018117242,-0.0053451424,-0.0017518749
Bilirubin_direct_mean_6h5,0.01796294,-0.0021890125,0.0035125436
Bilirubin_direct_mean_6h3,0.017802455,-0.0013327163,0.0004676831
Lactate_mean_global,0.017535295,0.00097329705,0.0029497284
Resp_last_6h5,0.017506367,-0.004967102,0.0045754034
DBP_mean_6h5,0.017347848,0.009541426,0.0045939856
SOFA_last_global,0.017296739,0.004900031,0.003908187
Resp_max_6h8,0.017283527,-0.005001251,0.009216374
Fibrinogen_last_global,0.017234534,-0.002418841,0.0031048488
AST_last_6h2,0.017202212,-0.0027467513,0.0005837054
Alkalinephos_max_6h4,0.017197495,-0.00012463499,0.0052174614
WBC_last_6h1,0.017114095,0.00059078715,0.00025628728
AST_max_global,0.016939962,-0.006055692,-0.0001877058
Resp_mean_6h8,0.016923808,-0.0033578011,0.0014074837
Fibrinogen_mean_6h4,0.016891394,-0.0018063198,-0.0033342738
SBP_mean_6h6,0.01672772,-0.0053133783,-0.0019112268
O2Sat_mean_6h6,0.016685307,-0.0046742596,0.003597021
MAP_mean_6h6,0.016662586,-0.014961795,-0.008143476
WBC_last_global,0.016624665,-0.0035577617,0.0046492675
O2Sat_mean_6h11,0.016560035,-0.0030024108,0.042452257
Fibrinogen_mean_6h1,0.016469825,-0.0022118643,0.0001334527
MAP_last_6h6,0.016469073,0.00013555994,0.005812765
Bilirubin_total_max_6h9,0.016384935,-0.00029182775,0.011293287
Bilirubin_direct_missing_count_global_y,0.016378675,-0.0033283317,0.020101972
Age_mean_6h5,0.016336037,0.0001245156,0.0053625647
TroponinI_mean_6h6,0.016319102,-0.0069182953,-0.0021749996
FiO2_max_6h2,0.01627174,-0.0039567603,0.0031691925
WBC_mean_6h8,0.016142894,0.0010738441,-0.0013467941
Bilirubin_direct_mean_6h7,0.015943313,-0.012565825,-0.0055519086
Fibrinogen_last_6h3,0.015826963,-0.003208695,-0.0027558242
Resp_mean_6h7,0.01576521,-0.003703063,0.001812055
WBC_max_6h5,0.015756195,-0.0010006326,0.0030489343
Age_mean_6h2,0.015755793,-0.00081862806,0.000968002
TroponinI_max_global,0.015744219,-0.0046509006,0.0031078244
Fibrinogen_mean_6h7,0.015702637,-0.00377001,-0.0023389256
Alkalinephos_max_6h2,0.015407303,-0.00406528,0.00044817606
BaseExcess_max_6h1,0.015370473,-0.0008451238,0.0037308028
AST_max_6h6,0.015218692,-0.0055418713,-0.0012643705
DBP_last_6h6,0.01518848,-0.0026537795,-0.0031104914
pH_mean_6h5,0.015057338,-0.003424544,0.0026080066
TroponinI_mean_6h2,0.015027443,-0.0022076783,0.00081063417
Bilirubin_total_last_6h1,0.014958185,-0.0030388057,0.0012827066
EtCO2_max_6h7,0.014891885,-0.003647529,-0.0016616716
SBP_last_6h5,0.014881214,-0.00427404,0.0047552674
TroponinI_last_global,0.014597722,-0.0024617058,0.00027190833
Bilirubin_total_last_6h3,0.014583984,-0.0025515012,0.0018738356
O2Sat_max_6h5,0.014518849,-0.0020504312,7.637168e-05
Temp_mean_6h14,0.0144864805,-0.0027965223,0.03725427
O2Sat_max_6h8,0.014342728,-0.004299156,0.002709389
EtCO2_mean_6h2,0.014290163,0.00023272274,0.004873459
Alkalinephos_last_6h2,0.014241378,-0.005187752,-0.00031222843
Alkalinephos_mean_6h6,0.013972327,-0.0015281602,0.0010522184
pH_mean_6h6,0.0139251845,-0.006184089,-0.0028170648
EtCO2_last_6h4,0.013874433,-0.006360686,0.00049149245
Temp_max_6h8,0.013807997,-0.0032168436,0.0048820036
DBP_mean_6h9,0.013705212,-0.0036048344,-0.007102611
WBC_last_6h4,0.013695708,-0.0032773386,-0.0049733473
FiO2_last_6h5,0.013690951,-0.006440401,-0.0016170802
WBC_max_6h6,0.01366029,-0.0029589345,0.00255759
Alkalinephos_last_6h4,0.013420596,-0.00108731,-0.0012546007
Bilirubin_total_mean_6h2,0.013234511,0.0006732797,0.003141755
Fibrinogen_last_6h2,0.013212535,-0.0016129302,-0.00027504042
MAP_mean_6h5,0.013194559,-0.002288332,-0.0026415135
O2Sat_last_6h6,0.0131696155,0.0001468236,0.0036537114
Alkalinephos_last_global,0.013086753,0.0029348321,0.0030204619
Age_mean_6h8,0.013044436,-0.005773273,0.0006006532
AST_last_6h6,0.013006513,-0.0068255286,-0.006165825
TroponinI_last_6h5,0.012922224,-0.00071806594,0.0039662174
EtCO2_mean_6h4,0.012877641,0.001625093,0.0024271752
O2Sat_last_6h7,0.012838669,-0.00078460283,0.005739112
SBP_last_6h7,0.012741496,-0.0029701465,-7.1679955e-05
HR_max_6h6,0.012657804,-0.003871116,0.00063467305
DBP_last_6h5,0.012593067,-0.003088027,0.001996787
MAP_mean_6h7,0.012575302,-0.0013755554,-0.0016517113
EtCO2_mean_6h1,0.012457017,-0.0015735128,0.0026203317
DBP_max_6h5,0.012438405,-0.00071115274,0.0012750685
EtCO2_max_6h4,0.012397288,-0.004422132,0.0012296134
EtCO2_max_6h3,0.012355859,-0.0050301543,0.000792007
WBC_max_6h8,0.01227612,0.0002253872,-0.0021867552
DBP_mean_6h6,0.012260571,0.0013599523,0.004605884
TroponinI_mean_6h4,0.012046387,-0.0030691477,0.0016524497
Bilirubin_direct_last_global,0.012037736,-0.0017883484,-0.00090228405
O2Sat_last_6h8,0.011981428,-0.0040879273,-0.0017695563
DBP_max_6h7,0.011834084,0.0028216385,0.0066448413
Fibrinogen_max_6h7,0.011748693,-0.0042847022,-0.0042132693
Bilirubin_total_mean_6h4,0.011694356,-0.003672784,-0.00079317193
Lactate_last_6h3,0.01164771,-0.0007187932,0.002172968
EtCO2_last_6h1,0.011547839,-0.0029833063,-0.001123733
TroponinI_mean_6h3,0.011491147,-0.002065911,-0.0012155866
AST_mean_6h5,0.011392321,0.0005321235,0.0014671516
EtCO2_missing_interval_mean_global_y,0.011095755,-0.0034226337,0.0065504727
MAP_max_6h5,0.011081561,-0.0021850965,-0.0010330047
BaseExcess_mean_6h6,0.0110591715,-0.0011816715,0.0019855555
WBC_last_6h5,0.011005417,-0.0010412823,0.000792233
Lactate_last_6h8,0.010962383,-0.0014348018,0.0002492703
EtCO2_max_6h1,0.010933558,-0.0013858936,4.9286573e-05
Fibrinogen_last_6h4,0.010753576,-0.003711921,-0.004372202
Alkalinephos_mean_6h7,0.010677198,-0.0018874285,-0.00055110926
AST_last_6h7,0.010670645,-0.0027707068,-0.0015009907
Bilirubin_direct_mean_6h9,0.010507998,-0.0052501457,-0.004095877
TroponinI_last_6h4,0.010507923,-0.0017118895,-0.0014227685
O2Sat_max_global,0.010505063,-0.0029732008,0.00050501357
WBC_last_6h6,0.010355806,-0.004124347,-0.0009362422
