threshold,recall,precision,f2,TN(%),FP(%),FN(%),TP(%)
0.5445,0.8105,0.8013,0.8086,91.39%,8.61%,18.95%,81.05%
0.5544,0.8079,0.8018,0.8067,91.45%,8.55%,19.21%,80.79%
0.5643,0.8054,0.8074,0.8058,91.78%,8.22%,19.46%,80.54%
0.5742,0.8028,0.8122,0.8047,92.05%,7.95%,19.72%,80.28%
0.5841,0.8003,0.8149,0.8031,92.21%,7.79%,19.97%,80.03%
0.594,0.7964,0.8184,0.8007,92.43%,7.57%,20.36%,79.64%
0.6039,0.7926,0.8275,0.7993,92.93%,7.07%,20.74%,79.26%
0.6138,0.7913,0.8295,0.7987,93.04%,6.96%,20.87%,79.13%
0.6237,0.79,0.8304,0.7978,93.09%,6.91%,21.00%,79.00%
0.6336,0.7875,0.839,0.7973,93.53%,6.47%,21.25%,78.75%
0.6435,0.7823,0.8416,0.7935,93.70%,6.30%,21.77%,78.23%
0.6534,0.7798,0.8458,0.7921,93.91%,6.09%,22.02%,77.98%
0.6633,0.7772,0.8501,0.7908,94.13%,5.87%,22.28%,77.72%
0.6732,0.7746,0.8533,0.7892,94.30%,5.70%,22.54%,77.46%
0.6831,0.7695,0.8573,0.7856,94.52%,5.48%,23.05%,76.95%
0.693,0.7682,0.8584,0.7847,94.57%,5.43%,23.18%,76.82%
0.7029,0.7618,0.8598,0.7796,94.68%,5.32%,23.82%,76.18%
0.7128,0.7593,0.8619,0.7778,94.79%,5.21%,24.07%,75.93%
0.7227,0.7503,0.8643,0.7706,94.96%,5.04%,24.97%,75.03%
0.7326,0.749,0.8654,0.7697,95.01%,4.99%,25.10%,74.90%
0.7425,0.7414,0.872,0.7643,95.34%,4.66%,25.86%,74.14%
0.7524,0.7375,0.8754,0.7615,95.50%,4.50%,26.25%,73.75%
0.7623,0.7298,0.8796,0.7556,95.72%,4.28%,27.02%,72.98%
0.7722,0.726,0.8804,0.7524,95.78%,4.22%,27.40%,72.60%
0.7821,0.7234,0.8828,0.7505,95.89%,4.11%,27.66%,72.34%
0.792,0.7145,0.8843,0.743,96.00%,4.00%,28.55%,71.45%
0.8019,0.7068,0.8875,0.7368,96.16%,3.84%,29.32%,70.68%
0.8118,0.7029,0.8912,0.734,96.33%,3.67%,29.71%,70.29%
0.8217,0.694,0.8959,0.7267,96.55%,3.45%,30.60%,69.40%
0.8316,0.6927,0.9092,0.7273,97.04%,2.96%,30.73%,69.27%
0.8415,0.6901,0.9136,0.7256,97.20%,2.80%,30.99%,69.01%
0.8514,0.6786,0.9185,0.716,97.42%,2.58%,32.14%,67.86%
0.8613,0.6671,0.9221,0.7062,97.59%,2.41%,33.29%,66.71%
0.8712,0.6581,0.9228,0.6982,97.64%,2.36%,34.19%,65.81%
0.8811,0.6504,0.9253,0.6915,97.75%,2.25%,34.96%,65.04%
0.891,0.6389,0.9327,0.6819,98.03%,1.97%,36.11%,63.89%
0.9009,0.6312,0.9355,0.6752,98.14%,1.86%,36.88%,63.12%
0.9108,0.6197,0.9472,0.6657,98.52%,1.48%,38.03%,61.97%
0.9207,0.6056,0.9479,0.6528,98.57%,1.43%,39.44%,60.56%
0.9306,0.5954,0.9529,0.6437,98.74%,1.26%,40.46%,59.54%
0.9405,0.5736,0.9593,0.6238,98.96%,1.04%,42.64%,57.36%
0.9504,0.5583,0.9625,0.6094,99.07%,0.93%,44.17%,55.83%
0.9603,0.5339,0.963,0.5862,99.12%,0.88%,46.61%,53.39%
0.9702,0.5019,0.9679,0.5554,99.29%,0.71%,49.81%,50.19%
